aX,aY,aZ,gX,gY,gZ
-1.2866,-0.7168,-3.2249,11.0474,-240.1733,84.5337
-1.7344,0.4995,-2.9454,47.7905,-363.8916,98.8769
-1.8855,0.7974,-1.6479,131.1646,-561.9507,6.8970
-1.3434,-0.6903,2.2087,119.8730,-557.2510,-49.3774
-0.8181,-1.2783,2.3727,20.9351,-235.9009,-16.6626
-0.3833,-0.0740,0.8097,-14.4653,-119.0796,28.9307
-0.3773,0.1664,0.7864,-44.7388,-29.9072,20.2026
-0.4341,0.1808,0.6045,-36.5601,29.4189,2.9297
-0.4749,-0.1318,0.0640,-36.4990,132.1411,-29.8462
-0.5770,-0.5262,-0.5106,-37.2314,143.6768,-22.4609
-0.6003,-0.5278,-0.7899,-33.9966,157.8369,-0.5493
-0.6035,-0.7178,-1.2972,-27.8931,141.4185,12.0239
-0.6553,-0.1505,-1.1340,-13.8550,87.0972,48.3398
-0.6775,0.0657,-1.0404,-13.3667,69.0918,47.3633
-0.6809,0.1312,-0.9315,-1.1597,46.7529,16.0522
-0.6722,0.0856,-0.8055,8.4229,37.8418,0.0000
-0.6528,-0.0374,-0.5299,17.7612,35.4614,-20.9961
-0.6478,-0.0667,-0.5093,7.3242,55.8472,-27.4048
-0.6482,-0.1215,-0.4669,0.6714,64.2700,-28.9307
-0.6589,-0.1533,-0.4106,-6.5308,81.4209,-30.8838
-0.6970,-0.1571,-0.3446,-7.4463,93.3227,-32.7148
-0.7168,-0.1796,-0.3607,-5.0049,120.3613,-39.6729
-0.7456,-0.2477,-0.3386,-3.2959,131.2866,-42.7856
-0.7618,-0.2780,-0.3362,-7.3853,152.7710,-45.7153
-0.8251,-0.2301,-0.5093,-8.5449,162.7807,-44.1894
-0.8472,-0.1827,-0.6997,-7.2021,159.3018,-44.4946
-0.8672,-0.3451,-0.6716,-7.7515,145.6909,-43.0908
-0.8662,-0.3799,-0.6886,-12.9395,126.6479,-22.2168
-0.8899,-0.2822,-0.8019,-12.5122,114.6240,-10.4980
-0.9517,-0.0897,-0.7805,-0.7324,86.0596,-0.1831
-0.9661,-0.0930,-0.6903,7.1411,73.5474,-4.2114
-0.9532,-0.0850,-0.5175,16.1743,58.7769,-11.1084
-0.9604,-0.0389,-0.5505,19.6533,56.3354,-13.2446
-0.9861,-0.0455,-0.6287,28.3813,46.3257,-19.9585
-0.9778,-0.1112,-0.6284,26.9775,27.7100,-19.9585
-0.9103,-0.1729,-0.3633,15.3809,21.4844,-13.6719
-0.8566,-0.0828,-0.2897,19.4702,22.0337,-11.6577
-0.8663,-0.2549,-0.2375,25.6348,24.6582,-16.1133
-0.8986,-0.2727,-0.3008,20.6299,29.4800,-1.4038
-0.9618,-0.0413,-0.3445,18.3105,26.3062,8.3618
-0.9734,0.0375,-0.2837,14.5874,22.2778,10.3760
-0.9637,0.0376,-0.2814,7.9956,25.2686,7.6294
-0.9603,0.0458,-0.3240,-2.6245,28.4424,1.7700
-0.9534,-0.0562,-0.3252,-4.2114,28.2593,-2.6855
-0.9526,-0.1342,-0.3506,-9.0332,28.0762,-1.0986
-0.9856,-0.0496,-0.4263,-10.1318,25.2686,4.5776
-1.0194,0.0221,-0.4659,-16.1133,18.7378,9.7046
-1.0829,0.0459,-0.6307,-19.6533,14.4653,7.0190
-1.0918,-0.0177,-0.6698,-19.5313,1.6479,-0.6714
-1.0735,-0.1987,-0.7380,-19.8975,-5.7373,0.9155
-1.1251,-0.1255,-0.8279,-23.7427,-22.7661,18.9819
-1.1832,-0.0110,-0.8959,-22.2168,-43.2739,28.1372
-1.2578,0.0647,-1.0162,-20.3247,-55.8472,24.4141
-1.2673,0.0253,-1.0613,-14.4653,-85.7544,12.2681
-1.2808,-0.1683,-1.1707,-11.8408,-102.1728,9.2773
-1.3085,-0.2096,-1.2057,-3.7842,-139.0381,16.2964
-1.4003,-0.1813,-1.1548,0.9155,-156.4941,20.2026
-1.4404,-0.1550,-1.1912,7.8125,-183.7768,24.2920
-1.5190,-0.0643,-1.3177,15.6250,-202.0264,26.0620
-1.5515,-0.0410,-1.3412,30.2124,-250.1221,29.7852
-1.6207,0.0879,-1.3091,29.6020,-278.6255,34.7290
-1.6553,0.2377,-1.2122,30.3955,-329.8340,27.4658
-1.6833,0.2225,-1.1991,30.7007,-344.7265,10.8643
-1.6847,0.0632,-1.4424,18.5547,-377.1362,-9.0942
-1.8016,-0.1532,-1.8632,11.1694,-416.3208,-5.6152
-1.8905,-0.1787,-1.6327,3.9673,-522.7661,13.6108
-1.8666,-0.1196,-0.9139,1.8921,-550.5371,21.2402
-1.6525,-0.1727,-0.8501,-10.1929,-552.1240,22.7661
-1.5690,-0.2520,-0.9238,-26.8555,-553.5889,24.4141
-1.4043,-0.2417,-0.6588,-7.5684,-556.0913,25.7568
-1.2872,-0.2456,-0.4087,75.3784,-528.8086,10.5591
-0.9935,-0.1705,-0.2209,110.8398,-500.0000,-1.5259
-0.8555,-0.1919,-0.2822,120.3613,-456.2378,-32.2266
-0.6509,-0.2748,-0.0790,103.2715,-447.9370,-42.7856
-0.5349,-0.3024,0.0985,85.3882,-411.9262,-55.4810
-0.2684,-0.3647,0.3563,85.1440,-381.7749,-57.2510
-0.1426,-0.3047,0.4285,68.0542,-318.3594,-50.6592
0.0715,-0.1079,0.5948,50.1709,-289.3677,-51.8188
0.1740,-0.1415,0.6417,11.1694,-225.1587,-71.0449
0.3717,-0.4603,0.5764,-0.4883,-192.0166,-77.4536
0.4517,-0.6178,0.4932,-2.0142,-138.2446,-64.2090
0.5682,-0.6820,0.4598,3.4790,-120.0561,-47.0581
0.6113,-0.5686,0.5530,19.5923,-84.4116,-13.6719
0.6862,-0.3228,0.5770,25.0244,-59.6924,-7.1411
0.7260,-0.2838,0.4312,16.2354,-19.0430,-11.7187
0.7817,-0.2690,0.2767,6.8970,-10.9253,-15.5029
0.7979,-0.3058,0.2725,-2.9907,3.9673,-20.9961
0.8378,-0.4468,0.2338,-2.9297,12.5732,-18.9209
