aX,aY,aZ,gX,gY,gZ
-0.2004,-1.4706,-2.5288,116.2109,162.1094,17.1509
-0.1416,-1.0663,-2.2231,130.8594,62.1948,45.8374
-0.0125,-0.6112,-1.2155,68.4204,-88.9893,44.4946
0.0245,-0.5625,-0.7379,5.6763,-145.5078,12.7563
0.0488,-0.7682,-0.2585,-12.2070,-144.2261,-2.8076
0.0291,-0.9115,-0.3083,-27.0386,-144.8364,-8.9111
-0.0471,-0.9293,-0.2039,-25.0244,-159.4238,-1.6479
-0.0853,-0.8671,-0.0546,-14.7095,-185.7300,6.2256
-0.1229,-0.7889,0.3081,-11.1084,-190.7348,3.4180
-0.1132,-0.8313,0.4712,-17.8223,-179.9927,-11.2915
-0.0638,-0.9805,0.8312,-22.8882,-163.8794,-18.0054
-0.0310,-1.0543,0.8776,-26.3062,-100.1587,-24.4141
0.0146,-1.1876,0.5039,-29.9072,-70.0684,-22.0947
0.0149,-1.1989,0.3368,-29.3579,-48.0957,-7.8735
0.0068,-1.1510,0.1096,-24.5361,-47.1802,-0.8545
0.0034,-1.1182,0.0260,-17.8223,-54.9927,9.9487
-0.0039,-1.0464,-0.1124,-18.1885,-62.8052,13.6108
-0.0088,-1.0261,-0.1669,-20.2637,-85.2661,17.8223
-0.0112,-1.0105,-0.1112,-18.6157,-98.0225,19.7144
-0.0090,-0.9675,0.0199,-15.6250,-113.8306,21.3013
-0.0045,-0.9583,0.0323,-24.0478,-118.3472,18.7378
0.0004,-0.9569,0.0383,-29.6020,-121.0327,17.9443
-0.0033,-0.9677,0.0317,-35.4004,-127.3804,18.1274
-0.0260,-0.9808,0.0205,-31.9214,-131.1035,19.1040
-0.0347,-0.9701,0.0226,-22.1558,-139.7095,20.5078
-0.0388,-0.9651,0.1145,-20.9351,-144.9585,20.3857
-0.0416,-0.9498,0.2098,-21.3013,-148.3765,20.2637
-0.0585,-0.8824,0.3015,-21.3623,-143.5547,18.4326
-0.0676,-0.8711,0.2904,-21.2402,-132.2021,9.8877
-0.0869,-0.8860,0.2523,-20.9961,-128.9062,5.4932
-0.1021,-0.8914,0.2471,-19.5313,-125.9766,-1.0986
-0.1392,-0.8995,0.2690,-18.5547,-125.4883,-3.6011
-0.1504,-0.9124,0.2921,-17.4561,-123.8403,-6.8359
-0.1624,-0.9534,0.3870,-18.0664,-122.6807,-6.7139
-0.1792,-0.9039,0.5531,-17.1509,-113.5254,-2.9297
-0.2074,-0.8632,0.6014,-24.1699,-91.3696,-4.4556
-0.2867,-0.8182,0.7133,-24.1089,-79.7119,-6.7139
-0.3157,-0.7911,0.7808,-17.2729,-50.2930,-13.4888
-0.3654,-0.7853,0.9036,-15.0757,-32.5928,-19.1040
-0.4010,-0.7865,1.0048,-10.1318,6.7749,-29.4189
-0.5012,-0.7533,1.1931,-6.6528,33.3862,-35.5225
-0.5575,-0.7726,1.1888,-0.4272,95.2148,-51.1475
-0.6562,-0.8799,1.1224,0.3662,121.9482,-56.7627
-0.6973,-0.9440,1.1204,4.4556,171.8750,-61.4014
-0.7432,-1.1294,1.0232,12.0850,197.9980,-58.8989
-0.7567,-1.2024,0.9437,49.5605,237.3657,-32.8979
-0.8136,-1.1389,0.9141,71.2280,248.9624,-11.9629
-0.8743,-1.0442,0.9802,93.9941,271.3013,22.3389
-1.0133,-0.9346,1.0405,92.6514,291.2598,30.6396
-1.0609,-0.9725,0.9247,82.5195,341.2475,39.3066
-1.1132,-1.0779,0.6791,83.1299,360.2295,47.4243
-1.1453,-1.0746,0.6537,92.2851,385.6201,71.9604
-1.2504,-0.9971,0.7640,93.8721,400.6958,82.2143
-1.4138,-1.0118,0.7390,85.0220,449.0966,92.9565
-1.4994,-0.9591,0.6273,92.2241,481.4453,98.8769
-1.5581,-0.9213,0.1439,96.6186,541.7480,110.9619
-1.5466,-0.9933,0.0051,73.2422,548.0347,115.2954
-1.5153,-1.2056,-0.1714,15.1978,534.7290,122.4976
-1.4976,-1.2765,-0.3394,-14.4043,518.4937,135.9253
-1.4591,-1.2726,-0.4707,-34.0576,501.2817,144.2871
-1.4701,-1.2734,-0.4580,-137.8784,476.4404,145.5078
-1.4213,-1.4427,-0.7699,-193.4204,472.1679,135.8032
-1.3398,-1.5447,-0.9188,-168.5181,442.1997,128.2349
