aX,aY,aZ,gX,gY,gZ
-0.5812,-2.0010,2.5514,14.2212,134.7046,17.8833
-0.7332,-1.7765,1.8038,10.3149,337.0361,140.9912
-0.6937,0.2712,-1.1627,28.1982,355.8960,181.4575
-0.4432,1.1045,-1.8976,47.8516,120.4834,91.4917
-0.1227,0.1586,-0.2567,37.9028,-26.4893,-9.8267
-0.0955,-0.8910,0.5719,3.9062,-85.1440,-80.8716
-0.0764,-1.3436,0.4509,-1.4648,-54.1992,-39.1846
-0.0848,-0.7899,0.4133,31.9214,-49.5605,25.2686
-0.0999,-0.2972,0.5106,36.6211,-50.8423,12.6953
-0.1210,-0.3652,0.4857,9.2163,-53.9551,-22.9492
-0.1812,-0.4921,0.5652,-2.9907,-58.8989,-33.6914
-0.2018,-0.6432,0.6313,-11.7187,-65.3076,-45.7153
-0.2274,-0.8444,0.8124,-7.6904,-65.2466,-41.2598
-0.2437,-0.7979,0.8700,3.7231,-54.2603,-26.0620
-0.2788,-0.6372,0.8784,3.1128,-46.1426,-24.5972
-0.2935,-0.6967,0.7748,-9.8877,-33.2031,-33.7524
-0.2990,-0.7778,0.7334,-14.6484,-30.9448,-37.1704
-0.3103,-0.8425,0.6107,-10.8032,-30.5786,-32.4707
-0.3119,-0.8494,0.5796,-1.8921,-40.0391,-22.3389
-0.3170,-0.8003,0.6841,1.5259,-44.9829,-17.4561
-0.3208,-0.7689,0.7463,2.8687,-44.0674,-13.9770
-0.3400,-0.7688,0.8020,-0.4272,-39.6118,-14.5874
-0.3536,-0.8164,0.8206,-6.9580,-30.2124,-15.0757
-0.3837,-1.0128,1.0299,-8.6670,-25.7568,-12.0850
-0.3978,-1.1470,1.2214,-12.9395,-3.1128,6.2256
-0.4515,-1.3475,1.5332,-13.7329,21.8506,23.7427
-0.4915,-1.2996,1.5643,-7.9956,88.8061,68.1763
-0.5269,-1.1945,1.6808,-4.4556,117.3096,84.2895
-0.5464,-1.3320,1.7690,-20.0195,182.8003,114.5019
-0.6586,-1.5325,1.4941,-28.3203,223.4497,141.8457
-0.7576,-1.0472,1.0574,-4.2725,275.9399,208.1299
-0.7542,-0.6066,0.9629,21.7895,285.7056,228.7598
-0.5342,-0.0083,0.6163,39.6118,299.5605,209.6557
-0.3673,-0.0356,0.3767,20.7520,298.2788,177.0019
-0.1310,-0.2625,0.1608,-32.7148,260.3760,121.7041
-0.0463,-0.2430,0.0846,-50.5371,220.2759,97.3511
0.1035,-0.1040,-0.0295,-47.2412,199.2798,83.8013
0.1700,-0.0590,-0.0726,-42.9687,153.6865,49.8047
0.2667,-0.0065,0.0374,-42.1753,129.0894,30.8228
0.2949,-0.0275,0.1440,-35.9497,96.0693,-7.6904
0.3430,-0.0599,0.1501,-32.1045,87.8906,-24.2310
0.3596,-0.0487,0.0801,-30.0293,67.8101,-55.9082
0.3600,-0.0190,-0.0702,-29.3579,52.9785,-73.6694
0.3478,-0.0610,-0.1962,-22.8882,15.7471,-111.8164
0.2919,-0.1738,-0.4827,-20.0195,-12.6953,-128.2349
0.2388,-0.2113,-0.4552,-16.6626,-90.5151,-157.9590
0.1029,-0.3861,-0.2148,-13.6719,-123.9624,-171.0815
0.0198,-0.4087,-0.0762,-14.8926,-175.6592,-185.8520
-0.1577,-0.3510,0.4099,-21.0571,-191.7114,-196.9604
-0.2979,-0.7246,0.0876,-48.2178,-189.1479,-225.2197
-0.3936,-0.8098,-0.1295,-64.7583,-203.7353,-224.2431
-0.6442,-0.7037,0.2791,-66.1011,-286.2549,-207.2143
-0.7432,-0.8181,0.5610,-22.8271,-327.3925,-205.0171
-0.8368,-1.1967,1.0026,-13.3667,-329.5898,-194.0918
-0.8350,-1.2201,1.2113,-25.5737,-304.0771,-157.2266
-0.7970,-1.3237,1.4197,-33.5083,-276.3672,-141.6016
-0.7812,-1.4014,1.3888,-34.9121,-215.2099,-99.1211
-0.8083,-1.3719,1.3639,-30.4565,-192.5659,-72.8760
-0.8264,-1.3087,1.5068,-12.0850,-149.7803,-30.7617
-0.8164,-1.2886,1.6993,-4.0283,-115.7837,-14.8315
-0.8030,-1.2645,1.6578,3.7231,-41.0767,20.6909
-0.7933,-1.1791,1.7173,2.6245,-12.1460,38.5742
-0.8004,-1.1431,1.8342,-7.0190,52.2461,69.6411
-0.8048,-1.0892,1.7823,-13.8550,97.9004,81.5430
-0.7931,-1.1328,1.5886,-25.5127,178.6499,105.9570
-0.8273,-1.0698,1.3744,-21.4844,203.6133,124.6948
-0.8394,-0.7384,1.1881,0.8545,253.1128,154.1748
-0.8121,-0.6359,1.1064,11.9019,273.7427,157.9590
-0.7428,-0.6616,1.0887,29.1748,293.8232,154.7852
-0.7020,-0.7581,0.9332,29.9683,308.5937,154.2969
-0.6313,-0.7900,0.6671,26.7334,322.4487,169.8608
-0.6058,-0.5817,0.6755,27.5879,319.8853,182.3120
-0.4409,-0.1853,0.2338,18.5547,335.2661,178.1006
-0.2957,-0.1385,-0.1412,-16.5405,305.6641,138.6719
0.0117,-0.1473,-0.4137,-32.3486,262.5732,119.5068
0.1191,-0.1215,-0.3148,-39.4287,178.1006,85.8765
0.2533,-0.0129,-0.0157,-31.0059,151.8555,66.4673
0.3141,-0.0208,-0.0537,-25.1465,124.3896,22.5830
0.4042,-0.0785,-0.1783,-30.7617,104.0649,4.2725
0.4231,-0.0800,-0.1466,-37.2314,58.1665,-27.9541
0.4302,-0.1013,-0.1217,-34.7900,39.6118,-44.1894
0.4246,-0.1329,-0.1802,-33.2642,1.5259,-73.9136
0.3815,-0.1436,-0.2015,-36.0718,-23.4985,-86.8530
0.3433,-0.1427,-0.1620,-41.7480,-72.6318,-115.7837
0.2297,-0.1219,-0.2142,-44.2505,-96.2524,-131.0425
0.1454,-0.0844,-0.1550,-44.4336,-158.1421,-166.4429
