aX,aY,aZ,gX,gY,gZ
-0.7585,-1.9833,2.2778,-76.4160,242.9809,-3.1128
-0.8790,-2.1729,1.5875,-137.5732,453.4301,48.8281
-0.8491,-1.4954,-0.8090,-112.5488,500.0000,96.3135
-0.3954,0.1674,-2.0103,39.1846,375.6714,151.0010
-0.2019,0.5015,-1.5303,78.3081,240.4785,116.0278
0.0052,-0.3594,-0.5161,13.2446,47.1191,-16.1743
0.0822,-1.0468,-0.4873,-28.3813,11.1084,-54.5654
0.0903,-1.2996,-0.4801,-15.3809,-36.3770,-28.0762
0.0076,-0.9720,-0.1917,26.5503,-86.8530,12.0239
-0.1017,-0.7300,0.3848,28.3203,-92.9565,8.5449
-0.1069,-0.7578,0.3763,16.2964,-84.5947,-2.4414
-0.1199,-0.7593,0.2384,7.9956,-88.9282,-5.9204
-0.1284,-0.7830,0.1979,-10.4370,-112.0605,-13.7939
-0.1851,-0.8289,0.4974,-19.1040,-126.5259,-16.9678
-0.2004,-0.8972,0.7352,-22.1558,-115.9058,-22.8271
-0.1541,-1.0731,0.6687,-17.2119,-93.0786,-21.9116
-0.1400,-1.1295,0.5139,-5.0049,-66.7114,-8.4229
-0.1545,-1.0815,0.2350,2.6245,-64.5752,0.2441
-0.1615,-1.0356,0.1127,12.6343,-77.2095,9.7046
-0.1853,-0.8877,0.1310,9.7656,-91.2476,11.0474
-0.1998,-0.8088,0.2014,-4.1504,-109.1919,3.2349
-0.1891,-0.8920,0.2656,-7.2632,-110.4126,-3.2959
-0.1787,-1.0009,0.2792,-7.9956,-110.4126,-2.6855
-0.2037,-1.0425,0.3743,-6.4087,-110.4736,4.4556
-0.2446,-0.8784,0.4197,4.5166,-103.4546,15.0757
-0.2568,-0.8436,0.4514,7.9346,-99.9145,14.2822
-0.2642,-0.8910,0.4211,1.3428,-92.0410,6.5918
-0.2650,-0.9047,0.3955,1.5259,-89.1113,3.6621
-0.2820,-0.9161,0.5303,13.6719,-86.8530,-0.4883
-0.2944,-0.9261,0.5692,21.5454,-73.4253,-4.6997
-0.3241,-0.9459,0.5087,23.3154,-65.7349,-6.4087
-0.3381,-0.9429,0.4639,26.6724,-56.8237,-8.3618
-0.3849,-0.9185,0.5322,26.6113,-56.2744,-9.9487
-0.4292,-0.9088,0.6622,22.8882,-49.1333,-17.3340
-0.5140,-0.9501,0.8472,17.4561,-37.7197,-23.6816
-0.5448,-1.0139,0.9174,5.6763,-9.5215,-35.5225
-0.6241,-1.1223,1.0480,2.1973,8.5449,-38.0249
-0.6606,-1.1230,1.0283,-2.4414,50.5371,-37.3535
-0.7281,-1.1082,1.0345,-7.7515,67.1387,-40.0391
-0.7703,-1.1521,1.1230,-15.8081,99.4873,-48.6450
-0.8683,-1.2726,1.4080,-17.8223,120.4834,-51.3916
-0.9200,-1.3394,1.5573,-15.3198,182.1899,-51.0254
-0.9869,-1.3982,1.5015,-8.5449,224.9145,-46.5088
-0.9861,-1.4509,1.2977,-6.5918,295.1050,-32.5928
-0.9285,-1.7720,0.9958,-17.4561,309.4482,-21.4844
-1.0139,-1.8768,1.1833,-34.3628,320.9839,22.7661
-1.0850,-1.8373,1.3079,-41.1377,337.1582,46.0205
-1.2021,-1.8534,1.1637,-88.4399,393.2495,72.4487
-1.2521,-1.8309,0.9236,-113.1592,419.3115,83.3130
-1.1917,-1.6366,0.2411,-132.9956,442.7490,110.9619
-1.1171,-1.5471,0.1381,-154.3579,404.4189,127.3804
-0.9910,-1.4250,0.1761,-166.5649,388.1225,131.0425
-0.9413,-1.3875,0.0717,-175.2319,371.6430,137.8174
-0.8958,-1.2946,0.0801,-164.6118,360.7177,145.3247
-0.8689,-1.2706,0.0870,-137.9395,350.0976,161.2549
-0.7561,-1.2422,-0.2072,-122.0703,344.4824,167.2973
-0.6943,-1.1265,-0.3741,-84.2895,318.6035,173.9502
-0.5962,-0.9634,-0.4624,-65.3076,308.0444,170.6543
-0.5101,-0.8660,-0.5891,11.2915,301.0864,182.9223
-0.2847,-0.5417,-0.7582,35.0952,286.1328,184.8144
-0.1755,-0.5470,-0.7001,-0.7324,231.8725,177.3071
-0.0181,-0.5125,-0.6470,-37.9639,207.7026,175.5981
0.0604,-0.4215,-0.7008,-71.8994,159.7290,177.5513
0.2305,-0.0099,-0.5846,-62.0728,135.3149,177.0630
0.3120,0.1193,-0.6040,-41.1377,107.7881,150.5737
0.4745,0.2029,-0.6150,-38.1470,94.7266,136.2305
0.5454,0.2023,-0.5521,-39.9170,67.9932,110.6567
0.6621,0.1584,-0.4196,-32.7148,58.2275,102.8442
0.7097,0.2927,-0.4065,-7.0190,49.9268,98.5718
0.8057,0.5137,-0.5232,-5.7373,42.1753,86.8530
0.8375,0.5208,-0.4896,-11.9019,11.7798,52.9785
0.8910,0.3983,-0.3506,-11.9629,0.6714,37.9028
0.9166,0.3195,-0.2944,-10.8643,-12.2070,19.0430
0.9402,0.2227,-0.2113,-10.6812,-15.1367,15.0146
0.9430,0.1799,-0.1078,-5.3101,-19.5923,10.8643
0.9454,0.1655,-0.0808,3.2959,-20.7520,8.8501
0.9525,0.1331,-0.0226,26.4893,-23.3765,1.6479
0.9631,0.0861,0.0013,34.6069,-25.0854,-4.1504
0.9827,-0.0348,0.0480,34.7900,-28.9917,-14.1602
0.9905,-0.0717,0.0919,31.8603,-30.3345,-15.9912
1.0144,-0.1266,0.1511,23.8037,-28.9917,-16.6626
1.0233,-0.1455,0.1569,17.7612,-27.7100,-14.5264
1.0317,-0.1484,0.2145,20.3857,-27.5879,-13.2446
1.0336,-0.1548,0.2422,27.5879,-25.2686,-11.4746
1.0322,-0.1812,0.2578,30.9448,-23.9258,-9.5215
1.0254,-0.1732,0.2850,32.6538,-20.5688,-3.7842
1.0137,-0.1511,0.2844,24.7192,-17.3950,-2.3804
1.0116,-0.1494,0.2433,6.1035,-13.3667,-1.0376
0.9966,-0.1077,0.1731,4.0283,-13.3057,-0.3662
0.9840,-0.0768,0.1521,10.2539,-14.5874,-2.5024
0.9713,-0.0553,0.1593,13.2446,-15.8691,-5.1270
0.9706,-0.0624,0.1886,13.6719,-17.2119,-11.0474
0.9797,-0.1005,0.2201,10.4370,-16.4185,-13.5498
0.9850,-0.1307,0.2273,-2.6245,-15.1978,-16.0522
0.9866,-0.1669,0.2167,-7.3853,-14.2212,-15.5640
0.9867,-0.1680,0.1954,-4.1504,-13.1226,-13.3667
0.9795,-0.1342,0.2070,0.4272,-13.4277,-12.5732
0.9786,-0.1279,0.2120,3.1128,-13.2446,-14.9536
0.9810,-0.1555,0.2035,2.7466,-13.4277,-16.4185
0.9794,-0.1606,0.2296,2.7466,-14.2212,-17.8833
