aX,aY,aZ,gX,gY,gZ
-1.0966,-0.2268,3.3888,-66.3452,210.9985,63.1714
-1.5983,0.3533,2.7893,-54.6265,432.8003,15.3198
-1.9554,-0.2098,-0.0962,-41.1987,484.5581,-49.3164
-1.2596,-0.7834,-2.1156,7.5684,359.6191,-43.4570
-0.8325,-0.4014,-1.6639,38.5742,209.7778,9.0332
-0.4606,0.3933,-0.0846,60.3638,-16.0522,49.6826
-0.4673,0.4617,0.0906,36.6821,-81.9092,5.3101
-0.5050,0.3079,0.3525,20.5078,-106.9946,-10.8643
-0.5630,0.3495,0.3848,29.5410,-137.3291,-28.0762
-0.6621,0.3988,0.4733,39.0625,-150.9399,-39.4287
-0.6868,0.3251,0.5728,34.2407,-174.4385,-65.8569
-0.6790,-0.1527,0.8397,25.6958,-179.9927,-75.7446
-0.6609,-0.3605,0.9889,21.6064,-168.4570,-63.1714
-0.6873,-0.2919,1.1030,27.4658,-151.9775,-47.8516
-0.6996,-0.2292,1.0452,31.1890,-120.9717,-33.3862
-0.7026,-0.2126,1.0251,25.8789,-111.2060,-30.0293
-0.6941,-0.2087,1.0310,17.3340,-82.8247,-25.4517
-0.7104,-0.1594,0.8628,19.4092,-68.2373,-25.5737
-0.7314,-0.1593,0.7202,15.6250,-58.2886,-30.8228
-0.7571,-0.3311,0.5298,5.9204,-63.5376,-30.7007
-0.7498,-0.4437,0.5845,-7.6904,-78.6743,-14.3433
-0.7020,-0.5151,1.0073,-7.4463,-78.6133,0.7935
-0.7660,-0.0948,1.2731,-0.4883,-48.7061,27.5269
-0.8231,0.0405,1.2235,-2.6855,-27.4048,25.6958
-0.9255,0.0077,1.2693,-31.9214,-2.6855,6.6528
-0.9805,-0.0977,1.3732,-51.0864,21.6675,-1.4038
-1.0518,-0.3125,1.7034,-51.0254,38.8794,1.4648
-1.0735,-0.3390,1.8840,-35.3394,90.0268,12.5122
-1.1531,-0.2075,2.0781,-27.0386,121.7041,15.1367
-1.1975,-0.2081,2.1184,-32.9590,186.4014,9.8877
-1.3109,-0.3115,2.3137,-46.2036,219.2383,10.8032
-1.4402,-0.2517,2.3236,-45.1660,294.7388,12.8784
-1.6398,-0.2660,1.9729,-26.1841,325.1342,6.4697
-1.6445,-0.4093,1.9523,-17.9443,354.9194,7.5684
-1.6289,-0.5558,2.3146,-25.7568,372.1313,20.8130
-1.6799,-0.4480,2.4087,-25.8179,438.9648,44.3726
-1.8082,-0.3215,1.8815,-17.3950,474.3652,44.7998
-1.7963,-0.3666,1.4463,0.9155,495.3003,44.5557
-1.5161,-0.6292,1.2527,-2.0752,479.1259,53.9551
-1.4047,-0.6289,1.5310,-6.3477,468.5669,96.4966
-1.4899,0.0688,1.2897,19.8364,488.2812,110.4736
