timestamp,aX,aY,aZ,gX,gY,gZ
0,0.408,-1.6151,3.9999,-75.5615,-195.0683,-10.8032
10,0.2952,-0.4473,3.566,28.5645,-36.0718,51.4526
20,0.0985,0.0323,2.4604,157.1655,198.3642,43.8232
30,0.0305,0.1799,0.6666,137.5732,214.9048,19.7754
40,0.142,-0.021,0.6075,39.3677,124.6338,-15.1367
50,0.2964,-0.5077,1.2157,27.832,95.2759,-17.4561
60,0.3379,-0.5044,1.174,74.9512,107.1777,3.1738
70,0.4434,-0.2284,0.9298,89.0503,109.7412,9.9487
80,0.4905,-0.1404,0.8682,57.373,105.835,9.5215
90,0.5265,-0.1718,0.6824,29.1748,103.2104,7.6294
100,0.5219,-0.2336,0.5817,-8.4229,86.2427,8.1787
110,0.5104,-0.3221,0.4779,-12.9395,71.6553,10.437
120,0.5159,-0.3185,0.5084,-8.8501,39.2456,17.2119
130,0.5403,-0.2036,0.6469,-7.8735,27.4048,19.4092
140,0.5509,-0.1547,0.7009,-13.7939,15.9912,14.8315
150,0.559,-0.2192,0.7524,-19.7754,13.7939,10.6201
160,0.5555,-0.2437,0.7731,-19.7754,9.5825,8.728
170,0.5515,-0.2572,0.8625,-14.3433,7.9346,8.4839
180,0.5475,-0.2545,0.8931,-5.4932,9.5825,10.498
190,0.5421,-0.2075,0.9635,-5.6152,11.4746,11.5356
200,0.5415,-0.1829,0.9895,-10.9253,18.7378,10.1929
210,0.5579,-0.1832,1.0043,-13.5498,23.1323,8.5449
220,0.5651,-0.1805,1.0073,-13.7329,30.4565,7.1411
230,0.5731,-0.1541,1.0145,-11.9019,33.7524,6.2256
240,0.5773,-0.1556,1.0386,-12.8784,39.6729,3.1738
250,0.5808,-0.1333,1.0959,-13.0615,44.1894,2.0752
260,0.5894,-0.1262,1.1061,-11.1694,55.603,-1.5869
270,0.62,-0.1008,1.1329,-7.5684,61.4624,-2.8076
280,0.6343,-0.0813,1.1362,-0.4883,76.1108,-5.188
290,0.6329,-0.0437,1.1248,-1.0986,83.8623,-7.0801
300,0.6252,-0.0569,1.1014,-12.9395,99.1211,-14.7705
310,0.6302,-0.1906,1.0931,-20.2637,105.6518,-17.5171
320,0.6417,-0.2386,1.1218,-22.9492,119.812,-14.2212
330,0.6703,-0.1915,1.1339,-17.334,129.5776,-11.1084
340,0.6831,-0.1528,1.0909,-8.8501,150.6958,-10.8643
350,0.6886,-0.1731,0.9755,-12.5732,160.2783,-12.8174
360,0.6913,-0.3086,0.9193,-28.2593,175.5981,-13.5498
370,0.6902,-0.3427,0.92,-29.1138,182.251,-9.8877
380,0.6722,-0.2645,0.848,-16.1133,199.4629,1.1597
390,0.6722,-0.2264,0.7832,-10.1318,215.9424,2.0142
400,0.6857,-0.2665,0.6475,-13.916,223.0224,0.6104
410,0.6851,-0.3235,0.5806,-19.9585,235.4736,4.6997
420,0.6606,-0.3119,0.5066,-18.4326,240.8447,11.2915
430,0.6395,-0.2555,0.4994,-10.498,254.6387,18.4326
440,0.5481,-0.1261,0.4255,0.4272,265.2588,17.395
450,0.5013,-0.1013,0.2574,7.7515,289.917,14.5874
460,0.4341,-0.0835,-0.1315,-4.0894,293.7622,14.8926
470,0.4147,-0.0563,-0.241,-27.9541,282.5928,13.6719
480,0.3661,0.0072,-0.3312,-29.3579,276.123,9.8877
490,0.3273,0.0291,-0.3982,-18.6768,272.644,-1.8311
500,0.2552,0.0527,-0.652,-12.9395,270.752,-7.5684
510,0.2218,0.0577,-0.7737,-16.1133,257.6294,-14.5874
520,0.1656,0.1162,-1.0247,-19.5923,248.9624,-16.0522
530,0.1376,0.1511,-1.1509,-25.6348,222.9614,-23.7427
540,0.0697,0.1824,-1.3508,-26.3672,204.6509,-29.9683
550,0.0339,0.2241,-1.4225,-23.8647,162.0483,-44.9829
560,-0.0419,0.2986,-1.5593,-20.5688,138.7939,-57.4951
570,-0.0812,0.2845,-1.6399,-9.9487,85.7544,-91.4917
580,-0.1643,0.1555,-1.7645,-7.8735,53.4668,-108.3374
590,-0.2084,0.0735,-1.7745,-9.2773,-19.5313,-133.8501
600,-0.2941,0.0139,-1.6449,-7.7515,-56.4575,-143.7378
610,-0.3352,0.0142,-1.5577,5.127,-116.6992,-168.1518
620,-0.4286,-0.0007,-1.5408,15.0757,-141.1133,-183.8379
630,-0.49,-0.0344,-1.5483,32.5928,-194.9463,-221.4966
640,-0.6915,-0.1742,-1.5872,31.9824,-225.8301,-239.9292
650,-0.9907,-0.3156,-1.5477,8.9111,-307.312,-271.8506
660,-1.1716,-0.4189,-1.5039,-5.9814,-356.3232,-288.7573
670,-1.5969,-0.84,-1.4385,-35.5835,-462.9516,-326.7822
680,-1.8754,-1.0656,-1.3475,-63.3545,-582.8857,-341.7358
690,-2.5143,-1.4366,-0.822,-80.6274,-649.7802,-340.5761
700,-2.9105,-1.6266,-0.3608,-120.7886,-763.916,-327.5146
710,-3.7008,-2.849,0.6768,-186.0962,-793.7011,-301.4526
720,-3.5737,-3.6968,1.3611,-262.9395,-829.3456,-106.6284
730,-2.6611,-3.3243,2.7166,-233.8257,-807.7392,59.3262
740,-2.3058,-2.0664,2.913,-103.0273,-639.6484,277.0996
750,-1.7598,-0.4694,2.4888,-14.5874,-544.6167,253.2348
760,-1.5292,-0.8712,2.1169,41.9922,-414.7339,104.7363
770,-1.2297,-1.7776,1.5846,41.8701,-386.6577,97.3511
780,-1.176,-1.621,1.52,53.1616,-363.7695,166.1987
790,-1.1747,-1.1289,1.4276,47.1191,-350.1587,185.9741
800,-1.0532,-0.5933,1.6809,76.2939,-339.8437,187.8662
810,-0.8981,-0.5793,1.946,91.6748,-335.0219,164.1235
820,-0.5651,-0.7469,2.0634,63.4766,-264.8315,119.3848
830,-0.4801,-0.686,1.9512,76.0498,-174.7436,109.375
840,-0.4189,-0.6028,1.6343,80.9936,-139.2822,97.3511
850,-0.3998,-0.6688,1.4751,72.1436,-88.8061,71.8384
860,-0.4027,-0.7699,1.2207,62.9883,-72.3877,66.9556
870,-0.3889,-0.7457,1.147,39.5508,-53.833,63.5376
880,-0.2828,-0.684,1.163,24.5361,-48.4619,56.5186
890,-0.2047,-0.7522,1.1771,-1.6479,-24.1089,40.6494
900,-0.1133,-0.7891,1.0712,1.0986,-5.5542,41.8091
910,-0.0895,-0.7131,0.9634,19.4092,30.0293,43.5181
920,-0.078,-0.6329,0.715,18.8599,43.6401,37.9028
930,-0.0868,-0.6304,0.5779,10.0708,53.4668,25.2686
940,-0.0896,-0.6434,0.3896,2.8687,50.0488,19.9585
950,-0.0729,-0.6615,0.3616,-17.9443,34.79,10.1929
960,-0.0162,-0.7214,0.4277,-28.1372,27.2217,5.6763
970,0.0162,-0.7629,0.4861,-39.7949,21.1792,-0.7324
980,0.0682,-0.8438,0.5685,-39.1235,22.644,-1.77
990,0.0789,-0.8794,0.585,-30.9448,30.7007,0.0
