timestamp,aX,aY,aZ,gX,gY,gZ
0,0.9041,-0.3762,3.9668,-93.5669,-80.1392,102.9663
10,0.5662,0.5441,3.9999,171.936,169.9219,129.0283
20,-0.4862,1.3314,3.8295,230.7739,377.1362,57.6782
30,-0.8278,0.4781,3.0203,37.5366,654.8461,-115.2344
40,-0.7529,-1.4442,-0.0623,-33.0811,674.7436,-105.7129
50,-0.5002,-1.312,-1.8639,-31.5552,548.4619,45.8374
60,0.1431,-0.1317,-3.0381,-32.2266,374.6948,72.2656
70,0.3635,-0.2588,-2.0823,-70.0073,58.4717,5.3711
80,0.5438,-0.9105,-0.9065,-66.9556,18.3716,-3.54
90,0.5525,-0.8499,-0.9299,-41.9311,5.0659,47.0581
100,0.5046,-0.2656,-0.9658,-33.9966,-15.0757,70.4346
110,0.4727,0.0238,-0.8689,-14.0991,-67.3828,76.7212
120,0.4512,0.2098,-0.5665,-10.2539,-91.6748,65.0635
130,0.4647,0.167,-0.3708,-15.0757,-133.8501,48.3398
140,0.5179,0.1699,0.1337,-11.1694,-150.4517,46.7529
150,0.5591,0.2015,0.4011,-8.2397,-163.4521,41.2598
160,0.6449,0.2332,0.8328,-11.2915,-158.9966,34.1797
170,0.6704,0.1992,0.9502,-17.0898,-130.6152,14.1602
180,0.7151,0.1082,1.0038,-15.9302,-114.4409,5.3711
190,0.7467,0.0613,1.025,-11.3525,-95.2759,-10.498
200,0.8357,-0.1266,1.1809,-15.1367,-87.7685,-15.686
210,0.8676,-0.1686,1.2915,-19.8975,-60.5469,-10.1929
220,0.9202,-0.0991,1.4792,-16.9067,-38.269,-6.1035
230,0.926,-0.024,1.6244,-16.4795,14.6484,-6.8359
240,0.9041,0.0333,1.6104,-19.9585,45.9595,-8.9111
250,0.8701,-0.0118,1.4127,-23.1934,104.6143,-20.1416
260,0.8689,-0.0967,1.3453,-35.5835,135.437,-25.7568
270,0.8888,-0.2383,1.433,-45.8374,147.0337,-24.9634
280,0.885,-0.2623,1.4902,-58.6548,187.3169,-22.1558
290,0.818,-0.3169,1.343,-61.4624,217.6514,-21.6064
300,0.7775,-0.3727,1.0831,-65.918,276.4893,-19.5313
310,0.7596,-0.4927,0.5942,-66.8945,286.438,-15.8081
320,0.7555,-0.5021,0.5192,-68.0542,280.5786,-2.7466
330,0.7012,-0.4021,0.3513,-67.5659,285.2783,2.6245
340,0.6711,-0.3962,0.2129,-79.2236,298.7061,4.7607
350,0.6385,-0.5007,-0.0974,-94.6655,301.4526,9.8877
360,0.614,-0.4341,-0.2109,-124.6338,294.3726,32.7759
370,0.5472,-0.1929,-0.3368,-131.7749,288.0859,37.4756
380,0.4982,-0.1005,-0.3868,-110.4126,279.4189,26.3672
390,0.3872,-0.0576,-0.6108,-91.6748,276.4893,15.9302
400,0.3453,-0.0579,-0.7502,-65.5518,259.4604,-0.6714
410,0.2773,0.0023,-0.9191,-53.1006,246.1548,-6.4087
420,0.2366,0.0696,-0.9886,-26.062,222.4731,-17.5171
430,0.1302,0.2059,-1.103,-14.5874,210.5713,-25.6958
440,0.0657,0.2202,-1.1504,0.4883,190.1855,-45.5933
450,-0.0856,0.1855,-1.3478,5.6152,182.9834,-52.0019
460,-0.1644,0.1975,-1.5055,15.9302,161.6821,-59.6313
470,-0.2986,0.2772,-1.9298,26.6724,140.8081,-67.5659
480,-0.3391,0.2958,-2.1428,36.1328,63.9648,-99.4263
490,-0.446,0.3016,-2.4094,41.0156,10.9253,-120.6665
500,-0.6429,0.186,-2.4314,82.4585,-108.8867,-173.9502
510,-0.7632,0.024,-2.3933,102.9663,-170.105,-203.4302
520,-1.0381,-0.3713,-2.2565,113.1592,-296.0815,-247.3144
530,-1.2081,-0.536,-2.1432,111.6943,-439.331,-271.1792
540,-1.6201,-0.8708,-1.7728,113.5254,-517.6392,-284.4238
550,-1.8798,-1.1936,-1.4954,82.5195,-667.7856,-306.1523
560,-2.4475,-2.0974,-0.5632,76.5991,-738.8915,-303.1616
570,-2.5651,-2.604,0.1257,73.0591,-854.7363,-267.0288
580,-2.4563,-3.7469,1.9287,-10.5591,-886.3525,-216.7358
590,-2.2159,-3.9999,3.0341,-147.3999,-843.933,68.6646
600,-1.3043,-2.7473,3.9999,-115.2344,-732.788,261.9629
610,-0.7805,-1.505,3.9999,75.1343,-439.6362,411.1328
