timestamp,aX,aY,aZ,gX,gY,gZ
0,-2.7435,-0.4158,-1.3545,18.1274,-693.9697,-463.0737
10,-3.8718,-1.9478,-0.7174,-40.3442,-750.122,-494.2016
20,-3.9999,-3.1798,-0.0807,-292.3584,-890.9911,-377.4414
30,-3.9249,-3.8209,2.1107,-305.2979,-956.0546,-205.8105
40,-3.5579,-3.1472,3.0398,-214.3555,-916.3207,88.0737
50,-2.3969,-1.588,3.9999,-125.2441,-809.9365,141.7236
60,-1.853,-1.2538,3.7852,103.3325,-505.0659,75.1953
70,-1.2396,-1.908,2.0009,117.4927,-383.9721,27.71
80,-1.1097,-1.7363,1.2164,103.6377,-333.313,60.2417
90,-1.0721,-1.4749,1.303,109.5581,-354.0039,86.5478
100,-0.9783,-1.5643,1.3878,137.9395,-358.7036,86.0596
110,-0.9366,-1.6273,1.2964,144.2871,-326.5381,106.9946
120,-0.9739,-1.3467,0.9865,134.2163,-313.0493,129.0283
130,-1.0325,-1.1027,0.8103,96.2524,-312.0728,155.3955
140,-1.0509,-0.6815,0.9823,77.7588,-324.4629,149.5972
150,-0.9445,-0.4929,1.3286,60.852,-325.8056,99.9145
160,-0.4941,-0.6199,1.9266,32.3486,-302.4902,62.7441
170,-0.2794,-0.8351,2.0292,-28.5645,-208.0078,27.71
180,-0.0615,-0.9172,1.796,-14.0381,-149.4141,33.2031
190,-0.0565,-0.8572,1.5328,28.0762,-51.2085,38.6353
200,-0.1633,-0.8057,0.974,37.7808,-16.8457,35.7056
210,-0.2216,-0.7592,0.7191,46.936,11.3525,32.8979
220,-0.2543,-0.7004,0.4313,36.499,4.6387,27.6489
230,-0.231,-0.7743,0.4299,-16.0522,-16.2354,10.437
240,-0.1433,-0.9971,0.5056,-31.9214,-20.0806,7.3853
250,-0.0955,-1.0493,0.5256,-24.292,-16.3574,16.4185
260,-0.0286,-1.0149,0.5262,-15.9302,-11.6577,23.6816
270,-0.0144,-0.9568,0.5033,-8.5449,-0.2441,34.2407
280,-0.0115,-0.8313,0.4198,-9.0942,3.9062,35.5835
290,-0.01,-0.7848,0.3916,-19.165,4.6997,30.6396
300,0.015,-0.7216,0.4188,-26.062,3.479,25.3296
310,0.0348,-0.7141,0.4572,-38.6353,5.188,11.7187
320,0.0658,-0.7616,0.5135,-43.2739,9.1553,5.6152
330,0.0752,-0.7976,0.5125,-44.9219,19.8975,-1.4648
340,0.0813,-0.8583,0.4706,-42.9687,23.9258,-2.3804
350,0.0812,-0.877,0.4523,-37.2925,26.7334,-1.0376
360,0.0837,-0.8809,0.4601,-34.4238,26.8555,-0.1221
370,0.0951,-0.8872,0.4741,-26.3672,28.3203,2.2583
380,0.0988,-0.8746,0.4767,-20.813,29.4189,4.1504
390,0.1014,-0.8318,0.4775,-12.8174,32.3486,6.5918
400,0.1012,-0.8188,0.4686,-12.3901,34.1187,5.9814
410,0.099,-0.8096,0.4403,-13.0615,37.3535,2.0752
420,0.0986,-0.8207,0.4164,-12.9395,38.5132,-0.5493
430,0.0996,-0.8596,0.3762,-16.0522,37.2925,-4.1504
440,0.0988,-0.8728,0.3756,-18.0054,31.189,-4.0283
450,0.0951,-0.9073,0.3958,-16.5405,28.0151,-3.7231
460,0.0967,-0.9304,0.4025,-10.6812,22.7051,-1.4648
470,0.1078,-0.9434,0.4314,-7.2632,20.3857,1.2817
480,0.1139,-0.9113,0.4513,0.8545,18.0664,7.0801
490,0.1235,-0.8334,0.4803,2.3804,18.0054,7.4463
500,0.1268,-0.822,0.4904,-2.3193,19.2261,4.2725
510,0.127,-0.821,0.5081,-5.0049,20.5688,2.4414
520,0.1265,-0.8262,0.5028,-9.9487,24.1089,-1.8311
530,0.1221,-0.8503,0.4821,-11.7187,25.3296,-3.479
540,0.1174,-0.8601,0.469,-13.7939,25.9399,-5.127
550,0.1055,-0.8892,0.4534,-14.2212,25.3906,-5.249
560,0.1017,-0.8939,0.4528,-11.4136,22.8271,-3.418
570,0.1061,-0.876,0.4816,-9.0332,21.1182,-2.6245
580,0.1091,-0.8662,0.5006,-6.8359,20.3247,-2.5635
590,0.12,-0.8575,0.5366,-8.1177,20.874,-3.1738
600,0.1273,-0.8611,0.5472,-9.6436,23.7427,-5.188
610,0.1361,-0.8705,0.524,-8.8501,26.001,-5.7373
620,0.1354,-0.8719,0.5024,-9.1553,28.2593,-5.9204
630,0.1283,-0.8936,0.4758,-10.2539,28.0151,-5.9814
640,0.1211,-0.8972,0.4653,-10.1318,25.4517,-4.3945
650,0.1196,-0.8743,0.4724,-10.0098,22.8882,-3.7842
660,0.1289,-0.8672,0.5049,-10.9253,19.104,-4.8218
670,0.1349,-0.8727,0.507,-11.5967,18.9209,-5.7373
680,0.1454,-0.8735,0.5171,-11.4136,18.9819,-6.3477
690,0.1482,-0.8717,0.5276,-12.5122,20.2637,-6.2256
700,0.1488,-0.8838,0.5394,-14.4653,21.3623,-6.3477
