timestamp,aX,aY,aZ,gX,gY,gZ
0,1.2452,0.7799,3.9435,-94.6655,75.5005,97.7173
10,0.6469,1.7139,3.6508,-10.6201,211.9751,58.0444
20,0.3378,1.2803,2.7097,-24.5972,425.1709,-134.7656
30,0.0879,-0.4491,1.1033,-64.3311,449.0356,-186.8286
40,0.0413,-0.8019,0.6266,-64.4531,449.2187,-133.4839
50,0.0154,-0.8588,-0.3538,-62.8052,442.1386,-101.0742
60,0.0704,-0.9381,-0.7726,-57.6782,375.8545,-67.9932
70,0.2345,-0.9907,-1.1312,-34.3628,327.8808,-47.2412
80,0.3077,-0.9087,-1.1149,0.5493,238.9526,-4.2725
90,0.407,-0.6917,-0.9021,2.9297,206.3598,11.0474
100,0.4373,-0.5928,-0.8275,7.5073,165.5884,32.0435
110,0.5153,-0.4225,-0.7468,10.7422,149.7192,40.4053
120,0.5625,-0.3038,-0.7147,11.8408,121.1548,56.9458
130,0.6439,-0.0369,-0.6592,7.3242,107.4219,60.9741
140,0.6754,0.0333,-0.6083,-6.5918,80.8105,54.7485
150,0.7294,0.0944,-0.4907,-7.8735,71.0449,48.4009
160,0.7635,0.1086,-0.4507,-4.3945,59.6313,33.3862
170,0.8538,0.0402,-0.3534,-6.5918,56.5186,27.771
180,0.8856,0.012,-0.295,-16.1743,57.9834,28.0151
190,0.9049,0.063,-0.2712,-18.1274,62.0728,29.7852
200,0.9055,0.0869,-0.2859,-10.9863,69.6411,25.6958
210,0.8964,0.0779,-0.332,-6.958,72.7539,21.4233
220,0.8916,0.0696,-0.371,-3.3569,77.4536,15.7471
230,0.8784,0.0671,-0.443,-5.7373,77.5757,14.9536
240,0.8738,0.0826,-0.444,-25.7568,77.6367,14.9536
250,0.8605,0.1071,-0.4402,-30.3955,79.0405,13.1226
260,0.8467,0.1018,-0.4448,-28.6865,80.8716,4.7607
270,0.8134,0.0739,-0.4219,-31.5552,84.1675,1.3428
280,0.7935,0.0461,-0.4446,-40.5884,94.7266,-3.1128
290,0.7689,-0.025,-0.5267,-44.3726,97.8393,-2.6855
300,0.7622,-0.0133,-0.55,-55.1147,100.1587,4.0894
310,0.7238,0.1306,-0.5475,-59.6924,99.7314,4.1504
320,0.6937,0.1798,-0.5305,-58.8989,102.2949,-10.7422
330,0.62,0.1316,-0.5485,-47.3022,105.835,-22.4609
340,0.5853,0.0629,-0.6057,-37.0483,114.2578,-35.5225
350,0.527,0.0452,-0.6859,-41.9311,114.0747,-35.0952
360,0.4952,0.134,-0.6671,-61.4624,111.6333,-30.8838
370,0.4244,0.3326,-0.5967,-65.979,112.9761,-37.2314
380,0.3584,0.3368,-0.5991,-53.3447,124.8169,-68.1763
390,0.1685,0.1985,-0.7203,-38.3301,131.5918,-87.4023
400,-0.056,-0.0663,-0.9276,-15.1978,141.4795,-121.0327
410,-0.1757,-0.1903,-1.0522,-6.7139,144.4092,-129.7607
420,-0.4103,-0.3363,-1.3134,7.5073,143.5547,-129.3945
430,-0.5393,-0.3386,-1.4281,20.3857,132.4463,-115.4175
440,-0.8215,-0.0773,-1.6105,28.4424,124.8169,-108.3374
450,-0.9971,0.1558,-1.7355,53.5889,107.1167,-115.4785
460,-1.3978,0.632,-2.2533,73.6084,89.2944,-136.7187
470,-1.6166,0.828,-2.6082,90.0879,2.0752,-223.5718
480,-2.2218,1.124,-3.0101,89.4775,-74.8291,-288.8184
490,-2.6659,1.1528,-2.9655,99.1821,-263.9771,-463.7451
500,-3.7739,0.5903,-2.8381,102.6001,-357.1777,-570.8618
510,-3.9999,-0.2,-2.8821,63.3545,-571.9604,-767.6391
520,-3.9999,-2.395,-2.1122,-9.0332,-708.435,-810.4858
530,-3.9928,-3.3712,-1.42,-241.0278,-961.0595,-703.0639
540,-3.9928,-3.9999,0.488,-376.3427,-1076.9653,-556.1523
550,-3.9999,-3.9999,2.1306,-522.3389,-1244.5068,-184.7534
560,-3.7511,-3.7614,3.9999,-407.4707,-1203.064,45.4712
570,-2.9584,-2.9069,3.9999,27.832,-771.3622,313.4766
580,-1.1198,-0.9246,3.3684,165.5884,-522.1558,261.6577
590,-0.541,-1.7755,1.6661,194.5801,-308.7158,52.0019
600,-0.5975,-2.2401,1.0985,169.4336,-308.4106,26.6724
610,-0.8279,-1.5697,1.1432,124.5117,-373.7182,123.9624
620,-0.8616,-1.1837,1.4573,103.9429,-399.292,158.9966
630,-0.7405,-1.0835,1.694,65.7959,-392.6391,169.9829
640,-0.6277,-1.0618,1.7448,44.4946,-374.5117,191.04
650,-0.3646,-0.4824,1.9785,54.5654,-361.2671,201.477
660,-0.2147,-0.2451,2.0492,53.6499,-293.2739,165.2832
670,-0.0161,-0.2365,1.8862,27.2217,-250.6714,135.6201
680,0.002,-0.2889,1.7909,-30.0293,-185.4248,101.0132
690,0.0114,-0.3749,1.6743,-45.3491,-159.8511,92.041
700,0.0442,-0.3947,1.6304,-49.3774,-119.6289,79.1626
710,0.1478,-0.355,1.587,-44.1284,-102.417,72.6929
720,0.199,-0.3333,1.5551,-32.3486,-60.9741,56.4575
730,0.2638,-0.2755,1.3943,-25.3296,-37.9028,49.3774
740,0.2778,-0.2302,1.2811,-16.0522,2.1973,33.3862
750,0.2908,-0.2565,1.0625,-17.395,15.8081,21.6675
760,0.3003,-0.3292,0.9797,-17.5171,31.7383,2.5024
770,0.3135,-0.4398,0.8317,-15.0757,36.6211,-1.9531
780,0.3143,-0.4762,0.7516,-16.2354,38.3301,-6.7749
790,0.3181,-0.5321,0.6456,-19.043,35.2173,-7.2021
800,0.3218,-0.5198,0.6245,-24.9634,25.3906,-4.2725
810,0.3455,-0.5112,0.6398,-30.7617,20.2026,-4.4556
820,0.3629,-0.5435,0.6738,-39.6118,12.8174,-5.8594
830,0.3827,-0.5686,0.7302,-38.8184,11.8408,-4.6997
840,0.386,-0.552,0.7363,-33.6304,12.8174,-2.6245
850,0.3853,-0.5217,0.7345,-31.7383,13.3057,-2.9907
860,0.3855,-0.5168,0.7312,-29.6631,13.7939,-3.7842
870,0.3961,-0.5215,0.7391,-29.1748,13.916,-3.8452
880,0.4054,-0.5387,0.7511,-28.1372,14.5874,-3.418
890,0.418,-0.558,0.7657,-25.5127,15.3198,-2.3804
900,0.4197,-0.5546,0.766,-17.334,17.5781,-0.2441
910,0.4136,-0.5256,0.7534,-13.6719,18.5547,0.6714
920,0.4087,-0.5013,0.7456,-10.9253,19.165,1.8921
930,0.3982,-0.4689,0.7429,-14.8926,18.7378,1.2817
940,0.3951,-0.4728,0.7446,-25.2686,16.7236,-1.4038
950,0.3984,-0.4827,0.7599,-29.602,15.5029,-2.9907
960,0.4055,-0.498,0.7686,-41.2598,14.2822,-5.3101
970,0.4208,-0.5033,0.7776,-48.4619,14.2212,-5.0659
980,0.4216,-0.4907,0.7795,-45.5322,14.6484,-4.8218
990,0.4125,-0.5045,0.756,-37.1094,14.7705,-5.4932
