timestamp,aX,aY,aZ,gX,gY,gZ
0,0.2404,0.7362,3.6572,-22.8882,156.7993,-89.6606
10,0.1321,0.0875,3.0522,-75.3174,226.7456,-123.7793
20,0.0767,-0.1989,2.4425,-118.5913,311.1572,-141.1743
30,-0.0209,-0.3004,1.4589,-115.0513,325.4394,-134.3994
40,-0.052,-0.3508,1.1624,-116.7602,332.5805,-147.3389
50,0.0291,-0.8552,0.6608,-115.1123,331.1767,-150.4517
60,0.1052,-1.0449,0.4447,-79.895,301.2695,-110.5957
70,0.2642,-1.1479,0.2527,-49.9878,275.8179,-77.5146
80,0.3217,-1.08,0.3109,-11.6577,238.6474,-22.7661
90,0.3931,-0.9875,0.3123,-1.4648,232.605,-7.9346
100,0.4187,-0.985,0.2559,19.5313,225.1587,13.3667
110,0.4651,-1.0022,0.0815,30.3345,220.581,27.4658
120,0.4835,-0.9257,0.0295,33.2031,199.2798,66.4673
130,0.5183,-0.5367,0.0778,26.6113,186.9507,79.7729
140,0.5618,-0.4462,0.1261,13.4277,170.7764,75.2563
150,0.6346,-0.3793,0.215,12.5122,167.6636,69.0308
160,0.6647,-0.3644,0.2484,-9.2163,166.687,58.1055
170,0.7104,-0.3606,0.2037,-21.4233,171.6919,56.3354
180,0.7305,-0.2986,0.0927,-35.2173,174.4385,55.1147
190,0.7849,-0.2244,0.0775,-39.3066,168.7622,49.9878
200,0.7904,-0.1841,0.1399,-29.1138,171.3867,31.9824
210,0.7849,-0.2834,0.0844,-28.9917,177.5513,22.0947
220,0.7817,-0.3804,0.0787,-39.2456,184.9975,23.9868
230,0.7264,-0.3221,0.0332,-33.7524,192.81,35.4614
240,0.6837,-0.2014,-0.0791,-10.0098,208.9233,47.7905
250,0.6194,-0.0797,-0.2942,3.54,210.6323,43.8232
260,0.601,-0.0844,-0.3472,18.9819,207.4585,31.0669
270,0.5658,-0.1035,-0.423,18.8599,206.9092,27.6489
280,0.5419,-0.0959,-0.469,1.3428,205.2002,27.0996
290,0.4883,-0.036,-0.5514,-5.4932,202.5757,28.1982
300,0.4382,0.0436,-0.5985,-6.7749,195.7397,27.832
310,0.4171,0.0586,-0.6328,-6.5918,193.9697,24.7192
320,0.3772,0.1033,-0.7113,-8.1787,190.979,16.2354
330,0.3632,0.118,-0.7479,-11.3525,188.4765,11.0474
340,0.323,0.1707,-0.7455,-20.9351,179.5044,3.418
