aX,aY,aZ,gX,gY,gZ
-2.9025,1.3575,-2.7003,31.3110,337.2192,-3.5400
-3.6449,2.1550,-3.8767,-80.1392,269.5312,-72.6929
-3.9999,3.0680,-4.0000,-102.6611,18.6768,-211.6089
-3.9999,2.2084,-3.9706,13.6719,-826.7822,-633.7891
-3.9789,-0.6589,-2.0287,97.2290,-1098.8770,-786.9262
-3.9894,-1.8851,-0.4119,112.6099,-1253.4180,-908.5082
-3.9999,-3.9999,3.0995,18.2495,-1302.2460,-901.8554
-3.8185,-3.9999,3.9999,34.1797,-1290.5272,-509.3994
-1.2205,-3.8690,3.9999,209.5337,-995.7885,-199.4018
0.3014,-3.7489,3.9873,29.5410,-62.8052,-42.9687
1.3273,-3.8429,2.8715,-117.2485,133.2397,-49.1333
1.3898,-3.3568,2.0836,30.7007,19.9585,68.9087
1.4204,-2.0720,2.1927,100.4639,-33.6304,101.1352
1.0955,-1.0509,1.6890,85.1440,45.4712,139.1602
1.0021,-0.8009,1.0685,49.4385,99.0601,146.6064
1.0078,-0.5229,0.2947,4.1504,130.1270,152.9541
0.9910,-0.4292,0.1569,-15.3198,126.6479,155.0903
0.9031,-0.5570,0.1356,-75.1343,117.7978,149.1699
0.8051,-0.7067,0.1447,-98.9990,118.5913,147.5830
0.5939,-0.8954,0.0022,-125.6103,137.3901,160.4004
0.5361,-0.9359,-0.0527,-128.8452,142.8223,171.2036
0.5029,-0.9214,-0.1360,-129.2114,148.7427,191.7724
0.4904,-0.8499,-0.1830,-156.9824,157.6538,207.5806
0.4232,-0.6964,-0.2568,-172.2412,162.4145,212.5854
0.3881,-0.6542,-0.2734,-192.9321,169.1894,218.0786
0.2814,-0.5851,-0.1741,-198.5473,173.9502,221.1914
0.2006,-0.5680,-0.1785,-206.9092,202.0874,227.8442
0.0104,-0.5742,-0.3456,-204.5288,219.7876,232.5439
-0.0878,-0.5114,-0.4440,-171.7529,249.2676,248.2910
-0.2504,-0.2177,-0.6456,-151.8555,259.8267,255.5542
-0.3130,-0.0570,-0.7408,-123.5962,269.8364,257.1411
-0.3804,0.1426,-0.9226,-116.6382,268.7988,250.6103
-0.3965,0.1481,-0.9724,-116.2720,256.2256,234.4971
-0.4454,0.2040,-0.9514,-115.6616,248.8403,230.4077
-0.4829,0.3212,-0.8824,-87.7075,240.3564,213.1958
-0.5414,0.3917,-0.7518,-66.4063,241.2720,196.1059
-0.5670,0.3260,-0.7211,-28.6255,249.8779,170.9595
-0.6459,0.1956,-0.6575,-11.1084,255.7983,167.5415
-0.7013,0.1530,-0.6237,17.7002,272.5830,175.7202
-0.8561,0.2162,-0.6318,25.3296,282.7759,185.9741
-0.9381,0.2905,-0.6768,27.8931,297.4243,203.4912
-1.0857,0.5361,-0.6923,31.1279,299.4385,205.8105
-1.1500,0.6605,-0.6376,11.7798,303.8330,192.0776
-1.3103,0.7367,-0.6206,-13.1226,311.5234,181.5796
-1.3854,0.7660,-0.7114,-59.0820,323.7304,162.5976
-1.4954,0.8138,-0.9531,-72.6929,321.0449,146.9116
-1.6483,0.7251,-1.1552,-98.1445,291.8701,107.2388
-1.7618,0.7118,-1.1580,-119.0796,263.9160,90.9424
-2.0941,0.7860,-1.1019,-176.6357,195.8008,57.3120
-2.3479,0.8486,-1.0154,-213.6841,156.2500,31.2500
-3.1780,0.8020,-0.5547,-281.4941,64.8193,-58.1665
-3.7343,0.5674,-0.1482,-348.0835,-23.9258,-181.2134
-3.9999,0.5642,-0.1365,-390.3808,-66.2842,-243.1640
-3.9999,1.2969,-1.4089,-397.7661,-288.0249,-485.5346
-3.9835,2.4014,-4.0000,-311.9507,-579.4678,-778.3813
-3.9919,1.0313,-3.3972,-32.7759,-1386.7797,-1645.6298
-3.9999,-3.8391,0.8455,36.9263,-1639.0990,-1963.2567
-3.9999,-3.9999,1.3827,-174.5605,-1807.9222,-1978.3934
-3.9996,-3.9999,2.9299,-272.3389,-1921.7528,-1581.9701
-3.9996,-3.9241,3.9999,63.4766,-1635.6810,-394.6533
-3.9999,-3.9865,3.1089,171.3257,-1232.0557,-249.6338
-3.9999,-3.9999,3.3125,235.2295,-1102.6611,-157.9590
-3.9673,-3.9999,3.9999,320.9229,-1009.2162,44.1284
-3.2703,-3.8793,3.9999,298.4619,-562.6221,208.9233
-2.6996,-3.4937,3.7474,234.8633,-424.8657,212.6465
-1.7473,-2.6044,2.7925,198.6694,-341.1255,201.2939
-1.3308,-2.1383,2.5985,213.8672,-337.6465,195.8618
-0.3971,-0.7454,3.0809,229.6142,-313.4155,175.9643
-0.0090,-0.4772,3.0898,144.4702,-176.2695,81.4209
0.2144,-0.3816,2.0129,83.5571,-94.1162,46.7529
0.1877,-0.4072,1.4161,-24.6582,2.9907,-3.8452
0.2191,-1.0250,0.6205,-59.0210,24.9023,-22.3999
0.2972,-1.2845,0.3472,-41.8091,46.7529,-6.6528
0.4279,-1.2107,0.0527,-7.2021,43.7012,18.4326
0.4668,-0.9597,0.0291,34.1187,19.8975,56.2134
0.5057,-0.5488,0.1515,32.9590,10.6201,58.5937
0.5049,-0.4561,0.1681,15.5029,8.1177,41.4429
