aX,aY,aZ,gX,gY,gZ
-1.4866,-0.3745,-3.5138,-19.6533,-124.4507,-182.6782
-1.7626,-0.8563,-3.7131,26.3672,-376.8310,-219.3603
-2.3580,-1.3956,-3.0018,56.4575,-533.3862,-205.0171
-2.5857,-1.3330,-1.8684,96.9849,-827.0263,-168.7622
-2.5344,-1.6835,0.6857,78.4912,-908.0200,-172.7905
-2.0370,-2.2400,1.9065,-153.9917,-970.5200,-192.0166
-0.5426,-2.5317,3.9999,-346.1303,-932.6171,-99.8535
0.1173,-1.1971,3.9999,-150.9399,-520.5078,257.3853
1.0824,0.8700,3.7513,121.0327,-236.4502,254.1504
1.2467,0.1469,3.2650,34.9731,6.7749,36.0107
1.2053,-1.3888,2.5328,-14.7095,7.3242,24.5972
1.1658,-1.1505,2.0524,122.0703,20.2026,110.9009
1.1770,-0.3147,1.3396,162.8418,17.1509,127.4414
1.1948,-0.1010,1.3180,100.1587,-2.3804,122.6807
1.1854,0.1141,1.3699,56.0303,3.4180,117.4316
1.1625,0.1636,1.3167,5.1880,30.0903,99.7314
1.1067,0.1367,1.3286,-9.8877,40.8936,87.4634
1.0623,0.0847,1.4304,-45.3491,74.5850,69.2139
0.9272,0.0266,1.3610,-73.2422,102.0508,63.4766
0.8779,-0.0422,1.2371,-137.8174,147.0337,46.6309
0.8390,-0.3320,1.1923,-157.9590,161.2549,39.0015
0.8405,-0.4385,1.2773,-165.0390,187.6221,37.2314
0.7957,-0.3433,1.4716,-155.6396,205.5664,37.4146
0.7474,-0.2952,1.4124,-155.6396,255.5542,18.2495
0.6425,-0.5216,1.1122,-167.6025,277.2217,5.7983
0.5798,-0.6716,0.9498,-174.3774,306.9458,3.1738
0.4133,-0.6788,0.6443,-164.0014,316.7114,8.9722
0.2725,-0.6970,0.3112,-144.1040,325.6225,7.7515
0.2384,-0.7733,0.1731,-144.9585,323.3032,5.4932
0.1840,-0.6611,0.0784,-148.9868,309.3262,17.3950
0.1292,-0.5298,0.0883,-139.3433,304.1382,21.9727
-0.0483,-0.5444,0.0387,-122.9858,313.1104,9.1553
-0.1729,-0.7241,-0.0702,-118.5303,342.9565,-8.5449
-0.3651,-1.0632,-0.5184,-108.3374,355.6518,-4.1504
-0.4003,-1.1022,-0.7147,-68.6035,342.1020,31.3721
-0.4075,-0.8844,-0.7617,-48.9502,322.4487,53.2837
-0.4014,-0.7391,-0.7097,-25.6958,298.7061,75.0122
-0.4099,-0.6968,-0.6542,-14.8315,296.8750,75.6226
-0.4336,-0.7086,-0.7139,12.0850,300.9644,85.8765
-0.4882,-0.5260,-0.9098,19.7754,298.5840,96.8018
-0.4969,-0.3854,-0.9338,19.1040,283.3252,110.4736
-0.4928,-0.2479,-0.8804,22.4609,277.3437,108.3374
-0.5194,-0.2639,-0.8882,40.1611,275.2075,99.0601
-0.6185,-0.2866,-1.0375,44.4946,273.7427,99.3652
-0.6613,-0.2217,-1.1132,43.8843,256.3477,111.0229
