aX,aY,aZ,gX,gY,gZ
1.6554,-0.7130,1.4872,-1.7700,12.8784,57.0068
1.4342,-0.1768,0.9336,8.7280,42.7856,54.5654
1.3135,-0.1467,0.5898,34.2407,89.0503,27.0996
1.1180,-0.1598,-0.0006,28.9307,99.4263,24.1089
1.0471,-0.0758,-0.1694,6.3477,83.0688,33.5693
0.9417,0.0703,-0.2881,-3.8452,73.7915,35.3394
0.9106,0.0608,-0.3114,-22.2778,68.1152,36.0107
0.8661,-0.0052,-0.3324,-27.8320,68.2983,39.9780
0.8455,-0.0398,-0.3668,-36.7432,71.1060,52.3071
0.7833,-0.0791,-0.5098,-43.7622,71.9604,59.9976
0.7557,-0.0483,-0.6111,-64.1479,65.3076,76.9043
0.7649,0.1030,-0.6688,-68.5425,53.1616,81.9702
0.7916,0.1738,-0.5742,-70.6787,30.3955,76.7822
0.8308,0.1912,-0.4677,-73.1201,28.1982,68.5425
0.8287,0.1115,-0.5052,-71.9604,30.3345,52.2461
0.8158,0.0795,-0.5410,-64.7583,31.3721,46.5698
0.7977,0.0190,-0.5677,-46.0205,30.9448,42.4805
0.7950,-0.0172,-0.5712,-46.1426,30.5786,44.7388
0.7855,-0.0203,-0.6318,-60.4858,31.6772,58.1055
0.7809,0.0132,-0.6547,-66.5894,30.7007,65.4297
0.7798,0.1266,-0.6263,-71.5942,25.4517,72.6318
0.7830,0.1697,-0.5831,-65.6738,22.8271,66.5894
0.7765,0.1726,-0.4933,-59.6313,24.9634,60.6689
0.7577,0.1421,-0.4973,-48.2178,36.5601,52.1851
0.7112,0.1105,-0.5734,-45.4102,41.9311,51.6968
0.6968,0.1134,-0.5929,-44.3726,47.4853,54.5654
0.6899,0.1465,-0.6061,-44.9219,49.6216,56.0303
0.6899,0.1672,-0.6117,-49.3774,53.6499,55.1758
0.6729,0.1787,-0.6132,-50.3540,55.9692,52.6733
0.6543,0.1726,-0.6172,-47.7295,62.5000,46.8140
0.6172,0.1295,-0.6440,-45.7153,66.1011,44.2505
0.6049,0.1063,-0.6647,-40.5273,71.8994,43.0908
0.5983,0.0988,-0.7079,-40.8936,73.7305,44.6167
0.6002,0.1199,-0.7113,-44.5557,74.5850,47.4243
0.5909,0.1262,-0.6792,-43.5181,75.6226,46.2036
0.5758,0.1117,-0.6705,-37.2314,81.7261,42.4194
0.5365,0.0911,-0.6906,-32.7759,85.5102,41.4429
0.5118,0.0789,-0.6968,-24.0478,93.5059,41.5039
0.4589,0.0557,-0.7529,-23.3154,99.4263,42.7856
0.4321,0.0441,-0.8209,-16.9678,109.7412,47.3633
0.3806,0.0367,-0.9514,-12.0239,110.2905,51.3916
0.3624,0.0358,-0.9877,-17.8223,104.9194,61.7676
0.3512,0.0796,-0.9884,-24.2310,101.1963,67.6880
0.3470,0.1321,-0.9686,-31.9214,95.0928,75.1343
0.3208,0.2083,-0.8872,-32.6538,93.8721,74.4629
