aX,aY,aZ,gX,gY,gZ
-2.4927,1.7584,0.2676,-156.5552,436.8286,-97.2290
-3.9999,1.2971,-2.8824,-27.5269,531.7993,-242.5537
-3.9999,1.6941,-4.0000,263.4277,495.1172,-417.1142
-3.9835,3.1978,-4.0000,366.2109,270.8130,-572.2046
-3.9691,2.9388,-4.0000,586.3647,-311.6455,-1076.8433
-3.9999,2.1790,-3.9694,722.9614,-450.1342,-1314.5140
-3.9999,0.5925,-3.9968,651.6723,-398.4375,-1832.7025
-3.9999,-3.9999,-4.0000,589.8437,-322.3266,-1999.9999
-3.9993,-3.9999,-4.0000,198.1201,-710.9374,-1792.2362
-3.9878,-3.9996,-1.0981,56.8848,-1015.5639,-1196.2280
-3.8701,-3.9136,-0.4069,536.0718,-591.4917,-296.2646
-3.4506,-3.9954,-2.9476,637.3901,-390.5029,-356.4453
-2.9993,-3.9999,-0.1122,465.9424,-600.0977,-480.6518
-2.7379,-3.9574,0.2067,411.4990,-598.6938,-417.5415
-2.4117,-3.3116,-0.4431,384.1552,-497.5586,-294.2505
-2.1521,-3.0529,-0.6270,450.3784,-495.1782,-292.8467
-1.5651,-3.5813,0.4910,483.8867,-517.8833,-310.9741
-1.1161,-3.8054,1.7140,61.1572,-376.8921,-179.5044
-0.2661,-2.5514,2.2191,-119.9951,-220.7031,-79.4067
-0.0941,-2.1589,1.7654,-124.2676,13.1836,-5.3101
-0.0098,-1.4943,0.1853,-76.5991,78.6133,22.8882
0.0371,-1.1058,-0.4165,-47.3022,82.0312,62.0728
0.1455,-0.7172,-0.7479,-50.2930,50.3540,66.4673
0.2134,-0.5713,-0.6124,-55.4810,0.0000,53.4058
0.3513,-0.7074,-0.3491,-48.2178,-7.3853,36.2549
0.4102,-0.8478,-0.3309,-31.1890,-8.4839,20.0195
0.4548,-0.9855,-0.2666,-18.3716,-6.6528,22.2168
0.4548,-0.9409,-0.3478,-18.9819,8.7280,32.7759
0.4431,-0.8811,-0.5353,-27.7100,7.0801,34.5459
0.4337,-0.8896,-0.4604,-21.9116,-11.9019,37.4756
0.4114,-0.8645,-0.2517,-13.9160,-14.7705,39.4287
0.4012,-0.8506,-0.2117,-10.9863,-11.8408,38.2080
