aX,aY,aZ,gX,gY,gZ
0.6716,-0.5657,3.8417,-42.6025,-137.8784,-53.4668
0.7322,-1.3567,3.9999,-49.7436,-60.4858,-57.7393
0.7297,-1.5994,3.9055,-46.5698,68.7256,-2.0752
0.6625,-1.1147,3.5781,-33.0811,114.1968,44.3726
0.5951,-0.6569,3.4354,-1.4038,194.6411,77.5757
0.3848,-0.3999,3.0414,2.0752,237.7319,63.6597
0.2574,-0.4203,2.7617,-7.6904,320.1904,44.0063
-0.0229,-0.3356,2.1608,-13.6719,354.1870,40.8325
-0.1671,-0.2128,1.8958,-12.6343,404.4189,28.6865
-0.4487,-0.1105,1.3850,-10.9863,420.5932,13.4277
-0.5563,-0.2264,1.1669,-18.5547,434.1430,-16.4795
-0.7427,-0.4486,0.8510,-26.4282,437.9883,-20.2637
-0.8411,-0.4956,0.6331,-56.3965,451.7822,-17.7612
-0.9124,-0.5977,0.1561,-68.1763,446.8994,-16.9067
-0.7878,-0.6097,0.0219,-44.0674,421.8139,-8.5449
-0.7212,-0.5043,0.0375,-15.7471,416.8091,0.7935
-0.6646,-0.2042,0.0680,17.6392,431.2744,16.1743
-0.6737,-0.1042,0.0436,22.0337,459.8388,15.7471
-0.7539,-0.0345,-0.1160,27.4048,471.0693,12.5732
-0.7981,-0.0502,-0.2087,28.9307,479.8584,5.7373
-0.8583,-0.0718,-0.3453,27.3437,480.4077,4.5166
-0.9219,-0.0699,-0.4225,64.4531,479.6753,11.1694
-1.0590,0.0842,-0.6456,57.1899,474.3042,13.0005
-1.0909,0.0265,-0.7025,17.8833,449.8901,-9.1553
-1.1989,-0.1517,-0.7948,2.1973,437.5000,-15.4419
-1.2363,-0.1870,-0.8596,-7.8735,410.2173,-15.9912
-1.3857,-0.1318,-1.0610,6.7139,396.3012,-13.4277
-1.4551,-0.0603,-1.2094,20.5078,362.9150,-4.7607
-1.5553,0.1440,-1.3972,19.7144,338.9282,-3.3569
-1.5930,0.2351,-1.4597,8.7280,284.6069,-13.8550
-1.7781,0.4694,-1.5665,-3.4180,256.5918,-23.5596
-1.9382,0.6046,-1.6843,-52.1851,195.2514,-49.6216
