aX,aY,aZ,gX,gY,gZ
-2.2617,-1.2990,1.5583,-58.1665,-855.7739,158.8745
-2.0404,-0.7128,3.0723,-108.5815,-846.9238,224.3042
-1.8010,-0.0339,3.7084,-67.1387,-716.1865,319.5190
-0.8066,1.1711,3.9999,31.2500,-609.0698,303.0396
-0.3459,1.4724,3.9999,132.2021,-366.0888,156.6772
-0.0319,1.2336,3.6003,93.9331,-253.9673,61.4624
-0.0959,0.5255,3.3020,-75.0732,-112.2436,-76.6602
-0.1189,-0.9952,3.3230,-116.2720,-82.1533,-80.1392
-0.0391,-1.1198,3.2859,-55.7861,-33.6914,26.9165
0.1960,0.0122,3.1271,-7.6904,-17.8223,80.5664
0.2933,0.6040,3.2064,25.0854,19.3481,79.1016
0.3557,1.0284,3.2733,15.1367,55.2368,38.6963
0.2911,0.8846,3.2272,-4.2725,141.4185,-63.5986
-0.0397,0.2561,3.1605,3.1738,181.6406,-108.7036
-0.2517,-0.0966,3.1052,36.7432,262.0850,-168.6401
-0.5771,-0.7671,2.9246,43.7622,302.3682,-178.6499
-0.6835,-0.9473,2.8246,63.3545,383.4839,-154.4800
-0.8678,-0.7941,2.6406,88.8672,421.6308,-132.6294
-1.0267,-0.6447,2.5565,116.6992,496.5210,-114.8071
-1.4597,-0.8298,2.1825,100.7080,539.2456,-115.8447
-1.8593,-1.0680,1.5239,68.2983,612.6709,-92.5903
-1.9773,-1.0778,1.1914,62.9272,633.0566,-69.2749
-2.1566,-0.9651,0.6508,44.9219,650.5126,-15.9912
-2.2068,-0.8247,0.3995,-8.7280,661.0107,34.1797
-2.2351,-0.4384,0.0646,-29.4800,655.5175,47.9126
-2.2445,-0.2701,-0.0292,-35.2783,635.8643,41.8701
-2.2595,-0.0044,-0.2417,-18.9819,629.7607,28.0151
-2.2592,0.0363,-0.4006,21.1182,614.0137,-10.3149
-2.2067,-0.1379,-0.6442,36.8042,596.4966,-27.2217
-2.1685,-0.2303,-0.7113,67.9932,553.6499,-39.7339
-2.0756,-0.3389,-0.8363,80.0781,533.0811,-38.0859
-2.0396,-0.4001,-0.8846,78.5522,496.3989,-21.2402
-1.9800,-0.3755,-1.0021,67.8711,479.8584,-4.9438
-1.9351,-0.2726,-1.0068,51.8799,441.9555,19.3481
-1.8667,-0.1443,-0.9407,54.5654,424.9267,19.1650
-1.8560,-0.1683,-0.9695,78.4912,399.6582,9.5825
-1.8005,-0.2568,-1.1719,86.6089,384.6435,7.6904
-1.7540,-0.3383,-1.2346,88.9893,338.2568,5.0659
-1.6202,-0.6792,-1.1641,87.5244,311.8286,9.2163
-1.5507,-0.8087,-1.1063,73.4863,270.6909,54.0771
-1.4089,-0.5223,-1.1798,62.8662,254.6387,87.4634
-1.2050,0.1095,-1.2704,52.1240,211.1816,121.7041
-1.1035,0.3146,-1.2339,56.6406,181.4575,109.7412
-0.9792,0.2667,-1.0997,71.2280,122.3144,44.6167
-0.9539,0.1115,-1.0333,70.6787,80.1392,-3.6011
-0.9404,-0.1680,-0.8212,66.0400,65.4907,-9.3994
-0.9346,-0.2433,-0.7367,51.3306,51.6968,2.1973
-0.9028,-0.2334,-0.7144,44.3726,47.9736,11.1694
-0.8926,-0.1901,-0.6931,38.9404,36.2549,19.3481
-0.8944,-0.2037,-0.5369,39.4287,32.1045,19.5313
-0.9071,-0.2198,-0.4741,30.5176,36.4990,30.1514
-0.9329,-0.1487,-0.4512,15.1978,40.7715,41.1377
-0.9445,-0.0548,-0.4880,-13.5498,45.5933,59.0210
-1.0067,0.1543,-0.6290,-25.4517,43.2739,60.9131
-1.0626,0.2308,-0.6914,-57.4341,22.3999,51.6357
-1.2296,0.3308,-0.6832,-72.0215,4.0283,43.1519
-1.3625,0.3580,-0.6169,-107.7270,-36.8652,24.1089
-1.8234,0.5068,-0.5491,-130.6152,-55.2978,16.1133
