timestamp,aX,aY,aZ,gX,gY,gZ
0,-1.0966,-0.2268,3.3888,-66.3452,210.9985,63.1714
10,-1.5983,0.3533,2.7893,-54.6265,432.8003,15.3198
20,-1.9554,-0.2098,-0.0962,-41.1987,484.5581,-49.3164
30,-1.2596,-0.7834,-2.1156,7.5684,359.6191,-43.457
40,-0.8325,-0.4014,-1.6639,38.5742,209.7778,9.0332
50,-0.4606,0.3933,-0.0846,60.3638,-16.0522,49.6826
60,-0.4673,0.4617,0.0906,36.6821,-81.9092,5.3101
70,-0.505,0.3079,0.3525,20.5078,-106.9946,-10.8643
80,-0.563,0.3495,0.3848,29.541,-137.3291,-28.0762
90,-0.6621,0.3988,0.4733,39.0625,-150.9399,-39.4287
100,-0.6868,0.3251,0.5728,34.2407,-174.4385,-65.8569
110,-0.679,-0.1527,0.8397,25.6958,-179.9927,-75.7446
120,-0.6609,-0.3605,0.9889,21.6064,-168.457,-63.1714
130,-0.6873,-0.2919,1.103,27.4658,-151.9775,-47.8516
140,-0.6996,-0.2292,1.0452,31.189,-120.9717,-33.3862
150,-0.7026,-0.2126,1.0251,25.8789,-111.206,-30.0293
160,-0.6941,-0.2087,1.031,17.334,-82.8247,-25.4517
170,-0.7104,-0.1594,0.8628,19.4092,-68.2373,-25.5737
180,-0.7314,-0.1593,0.7202,15.625,-58.2886,-30.8228
190,-0.7571,-0.3311,0.5298,5.9204,-63.5376,-30.7007
200,-0.7498,-0.4437,0.5845,-7.6904,-78.6743,-14.3433
210,-0.702,-0.5151,1.0073,-7.4463,-78.6133,0.7935
220,-0.766,-0.0948,1.2731,-0.4883,-48.7061,27.5269
230,-0.8231,0.0405,1.2235,-2.6855,-27.4048,25.6958
240,-0.9255,0.0077,1.2693,-31.9214,-2.6855,6.6528
250,-0.9805,-0.0977,1.3732,-51.0864,21.6675,-1.4038
260,-1.0518,-0.3125,1.7034,-51.0254,38.8794,1.4648
270,-1.0735,-0.339,1.884,-35.3394,90.0268,12.5122
280,-1.1531,-0.2075,2.0781,-27.0386,121.7041,15.1367
290,-1.1975,-0.2081,2.1184,-32.959,186.4014,9.8877
300,-1.3109,-0.3115,2.3137,-46.2036,219.2383,10.8032
310,-1.4402,-0.2517,2.3236,-45.166,294.7388,12.8784
320,-1.6398,-0.266,1.9729,-26.1841,325.1342,6.4697
330,-1.6445,-0.4093,1.9523,-17.9443,354.9194,7.5684
340,-1.6289,-0.5558,2.3146,-25.7568,372.1313,20.813
350,-1.6799,-0.448,2.4087,-25.8179,438.9648,44.3726
360,-1.8082,-0.3215,1.8815,-17.395,474.3652,44.7998
370,-1.7963,-0.3666,1.4463,0.9155,495.3003,44.5557
380,-1.5161,-0.6292,1.2527,-2.0752,479.1259,53.9551
390,-1.4047,-0.6289,1.531,-6.3477,468.5669,96.4966
400,-1.4899,0.0688,1.2897,19.8364,488.2812,110.4736
410,-1.4492,0.2574,0.6919,68.9697,490.5395,83.6182
420,-0.9479,-0.0682,-0.2389,52.6733,449.3408,70.0684
430,-0.6901,-0.1901,-0.1775,7.6904,347.29,83.9233
440,-0.476,0.0415,0.3014,10.5591,320.0073,96.4355
450,-0.4282,0.0957,0.3047,9.4604,303.4058,95.0317
460,-0.3033,-0.0223,0.1005,-3.1128,294.4946,93.4448
470,-0.2679,0.0702,-0.0875,-12.207,269.2261,96.8018
480,-0.1333,0.259,-0.3655,-18.2495,246.7041,88.9282
490,0.0677,0.0768,-0.3414,-33.7524,194.7632,66.7725
500,0.1423,-0.0116,-0.1309,-45.4102,170.7764,66.3452
510,0.1731,0.1217,0.3279,-70.7397,156.4941,79.1016
520,0.1393,0.2949,0.1005,-68.5425,173.9502,81.7871
530,0.2045,0.2593,-0.6185,-67.8101,178.2226,60.73
540,0.2838,0.2081,-0.7101,-70.6177,150.5127,52.6123
550,0.4136,0.2719,-0.5195,-54.0161,89.7827,50.5981
560,0.4645,0.2773,-0.4193,-39.3677,69.8242,47.8516
570,0.5599,0.2609,-0.1619,-18.1274,43.5791,42.7246
580,0.6011,0.3192,-0.0284,-7.4463,38.0249,40.5884
590,0.6737,0.4191,-0.0923,-3.3569,42.1143,36.9873
600,0.7104,0.4673,-0.2078,2.5635,37.9639,26.7334
610,0.8002,0.505,-0.3296,5.4932,28.1372,20.0195
620,0.8527,0.4955,-0.3003,11.4746,4.8828,7.2021
630,0.9261,0.4667,-0.2738,15.1367,-3.54,2.0142
640,0.95,0.4398,-0.2723,20.2637,-19.2871,-4.8218
650,0.9899,0.4044,-0.1599,19.7754,-27.0386,-5.3101
660,1.0101,0.4027,-0.0581,9.9487,-35.2173,-3.1738
670,1.0375,0.4072,0.0612,5.4321,-33.4473,-1.8921
680,1.0326,0.4341,0.037,4.5776,-27.4658,-2.4414
690,1.0118,0.4132,-0.0602,5.7373,-28.6865,-5.3711
700,1.0067,0.3701,-0.0706,2.8076,-41.626,-9.3384
710,1.0118,0.2925,0.0629,-1.2207,-49.7436,-8.7891
720,1.0117,0.2742,0.1639,3.479,-56.1523,-7.1411
730,1.0043,0.2572,0.3135,10.498,-54.0771,-7.6904
740,1.0029,0.2336,0.3497,16.7847,-46.6919,-9.5825
750,1.0006,0.1605,0.3923,13.2446,-44.6777,-8.4839
760,0.9983,0.1501,0.4387,0.3662,-42.9077,-2.3193
770,0.9895,0.1772,0.5405,-3.479,-40.0391,-0.3052
780,0.9873,0.1713,0.5546,-1.5869,-29.2358,-0.8545
