timestamp,aX,aY,aZ,gX,gY,gZ
0,0.4137,-3.1982,2.9358,-46.3257,-243.7134,-200.3174
10,0.4532,-1.3425,1.0552,-97.29,91.5527,95.9473
20,0.3748,-0.3893,0.1084,-40.6494,153.9307,106.3843
30,0.3586,-0.2455,-0.4839,29.7241,101.4404,37.2314
40,0.3784,-0.7201,-0.0107,68.0542,23.1934,-34.4238
50,0.3301,-1.1669,0.3337,50.5981,42.3584,-25.4517
60,0.2875,-1.1274,0.1027,29.48,90.6982,4.3945
70,0.2302,-0.8669,-0.2794,35.1563,95.8252,10.2539
80,0.2277,-0.8044,-0.4059,38.7573,83.8623,1.5869
90,0.2249,-0.8998,-0.4664,33.5693,70.2515,-4.3335
100,0.229,-0.9753,-0.4005,20.2026,44.3115,-5.4932
110,0.2557,-0.9977,-0.2021,16.2354,37.8418,-1.4648
120,0.2653,-0.9746,-0.1613,13.1836,38.0859,5.7983
130,0.2627,-0.9247,-0.265,9.4604,39.6729,9.2773
140,0.2615,-0.8862,-0.3453,-14.5874,32.8369,14.4653
150,0.278,-0.7811,-0.3335,-20.3857,23.3765,12.085
160,0.2933,-0.8285,-0.2666,-6.8359,7.2021,-4.2725
170,0.3252,-1.0199,-0.0781,0.1221,5.6152,-7.1411
180,0.3264,-1.0234,-0.0688,6.1035,17.9443,0.6104
190,0.3085,-0.9438,-0.1891,8.1787,23.3765,3.2349
200,0.2992,-0.9264,-0.2223,16.2354,26.6724,1.5259
210,0.2911,-0.9747,-0.2236,19.8364,28.3813,-0.3662
220,0.2883,-1.0203,-0.2189,29.0527,34.1797,2.0142
230,0.2677,-1.0354,-0.2415,33.7524,37.6587,6.3477
240,0.2552,-1.0116,-0.2816,37.0483,43.2129,14.9536
250,0.2473,-0.9333,-0.3264,38.0859,43.8232,17.4561
260,0.2507,-0.8989,-0.3342,39.0015,45.3491,16.5405
270,0.261,-0.8477,-0.3894,37.1094,46.0815,13.6719
280,0.2653,-0.847,-0.3864,36.499,43.457,6.1035
290,0.2622,-0.9305,-0.2864,38.3911,43.335,4.2114
300,0.2588,-0.9634,-0.2917,34.9121,52.3071,9.5215
310,0.2552,-0.9017,-0.3857,30.6396,53.9551,14.5264
320,0.2539,-0.8196,-0.3872,26.3062,52.5513,17.0288
330,0.2526,-0.7533,-0.4445,25.5737,52.4292,12.3901
340,0.25,-0.8005,-0.4276,20.6909,46.5088,0.7935
350,0.2455,-0.9492,-0.2911,17.7002,45.5322,-0.5493
360,0.256,-0.9719,-0.2483,16.2354,52.6733,5.8594
370,0.2339,-0.9417,-0.3108,13.916,57.1289,10.9253
380,0.2345,-0.8578,-0.3838,9.8877,63.3545,16.6626
390,0.2598,-0.7947,-0.4337,6.4087,62.1948,14.2212
400,0.2666,-0.8159,-0.4052,3.1128,57.373,9.7046
410,0.2559,-0.8271,-0.3019,3.1128,58.7769,9.8877
420,0.2498,-0.7948,-0.342,-2.9907,71.4111,10.5591
430,0.2025,-0.7413,-0.3916,-6.5918,73.7305,8.7891
440,0.1703,-0.7416,-0.4017,-18.1885,85.5102,3.3569
450,0.0782,-0.7283,-0.5629,-21.1792,92.1631,1.5259
460,-0.0175,-0.7307,-0.696,-7.4463,90.6372,-5.188
470,-0.0795,-0.7452,-0.7086,-1.77,82.5195,-9.9487
480,-0.2358,-0.6801,-0.9196,18.0054,69.6411,-19.2871
490,-0.3032,-0.6909,-0.9957,37.1704,40.3442,-37.7808
500,-0.45,-0.7512,-1.0161,49.2554,23.4985,-47.1802
510,-0.5129,-0.8472,-1.0544,66.5894,-6.7749,-59.5703
520,-0.6086,-0.9829,-1.1819,71.4722,-24.7803,-56.3354
530,-0.6542,-0.8938,-1.2603,90.9424,-70.8008,-44.9219
540,-0.8278,-0.6053,-1.4517,107.666,-97.4121,-49.4995
550,-0.9786,-0.5018,-1.6396,148.3765,-157.3486,-84.1675
560,-1.2892,-0.3982,-2.0071,162.2925,-201.6601,-112.4268
570,-1.4718,-0.3536,-2.0215,195.8008,-322.4487,-179.1382
580,-1.7937,-0.2948,-1.8735,233.6426,-382.6904,-222.229
590,-1.9578,-0.4265,-1.6931,305.1147,-480.957,-317.3218
600,-2.2086,-0.7523,-1.3378,289.3066,-506.4697,-351.9287
610,-2.3842,-1.1028,-1.1588,260.5591,-539.6729,-395.0805
620,-2.4546,-1.0891,-0.9624,279.541,-559.6313,-412.3535
630,-2.5166,-0.7898,-0.8314,238.8916,-545.8984,-423.8891
640,-2.5826,-0.7521,-0.9189,58.2275,-532.4097,-455.5053
650,-2.8295,-1.1423,-0.8973,-11.4746,-554.3823,-467.7734
660,-2.8997,-1.4784,-0.6201,-82.8857,-606.3232,-455.0781
670,-2.6633,-1.7814,-0.0928,-108.5815,-604.126,-417.9077
680,-2.4977,-1.5994,-0.0745,-118.5303,-559.082,-324.646
690,-2.3872,-1.1836,-0.2649,-103.4546,-546.6919,-305.2368
700,-2.4,-1.2877,-0.2286,-101.9897,-557.312,-306.3965
710,-2.2827,-1.7979,0.0974,-133.3008,-566.7725,-292.2363
720,-2.0809,-1.8662,0.5704,-197.1435,-574.646,-215.8203
730,-1.9253,-1.7933,0.8317,-186.7676,-570.1294,-176.2085
740,-1.5211,-1.6853,1.3937,-110.2295,-533.02,-119.4458
750,-1.3156,-1.5463,1.6343,-34.4849,-438.1103,-72.0825
760,-0.9043,-1.1876,1.7688,-3.479,-374.0844,-59.1431
770,-0.7438,-1.1083,1.6329,16.8457,-248.9014,-58.6548
780,-0.5974,-1.0951,1.1621,12.085,-202.3315,-60.3638
790,-0.5901,-1.0792,0.9789,0.9766,-154.7241,-54.5044
800,-0.5767,-1.0516,0.923,-5.7983,-143.7378,-53.4058
810,-0.5326,-1.1426,0.9644,-21.0571,-113.6475,-57.8613
820,-0.3712,-1.3779,1.0233,-23.3765,-93.0176,-53.7109
830,-0.2913,-1.4169,1.009,-13.0615,-44.7388,-28.1982
840,-0.1656,-1.333,0.8306,-7.1411,-20.0195,-12.9395
850,-0.1239,-1.2489,0.6813,6.5918,18.6768,12.085
860,-0.0784,-1.0464,0.3348,11.4136,30.8228,19.104
870,-0.0593,-0.9696,0.1573,3.3569,38.208,17.4561
880,-0.0031,-0.9419,-0.0248,-7.3853,32.1045,11.9019
890,0.0323,-0.9546,0.0121,-24.5361,16.2964,2.4414
900,0.0837,-0.9854,0.0869,-25.1465,14.8315,-0.4883
910,0.1063,-1.0059,0.0814,-13.0615,14.9536,-2.2583
920,0.1044,-1.0013,0.0991,-9.8267,13.6719,-1.8311
930,0.0929,-0.9899,0.1294,-15.1978,13.4277,-1.6479
940,0.0879,-0.9956,0.1338,-19.8364,14.2212,-2.4414
950,0.0817,-0.9944,0.1218,-27.0386,15.9302,-2.9297
960,0.0831,-0.9836,0.1028,-21.4844,14.2822,-2.0142
970,0.0848,-0.9584,0.1154,-18.2495,11.5356,-1.77
980,0.0835,-0.9478,0.1493,-19.8364,7.7515,-2.9907
990,0.0762,-0.9545,0.2026,-19.7754,7.9956,-4.4556
