timestamp,aX,aY,aZ,gX,gY,gZ
0,-0.1248,-0.6182,-2.8927,84.2895,266.8457,149.8413
10,-0.1727,0.6448,-2.9156,102.7832,179.3213,198.0591
20,0.0321,0.8285,-2.5377,68.2983,18.1885,84.4116
30,0.1771,0.0272,-2.1428,12.7563,-90.6372,-28.4424
40,0.3508,-0.5448,-1.0795,7.019,-118.2251,-21.6675
50,0.4189,-0.5438,-0.7308,8.728,-98.0835,0.3662
60,0.5006,-0.5447,-0.9111,8.8501,-78.5522,10.0098
70,0.5149,-0.4592,-0.9187,0.7324,-88.2568,23.6816
80,0.535,-0.4585,-0.7133,-2.5024,-97.229,24.5361
90,0.5425,-0.4694,-0.629,3.8452,-98.7549,28.4424
100,0.567,-0.5155,-0.5468,7.8125,-95.2759,31.6162
110,0.5704,-0.4756,-0.4873,7.6294,-86.3037,40.9546
120,0.5695,-0.3351,-0.4799,7.019,-76.5991,41.8701
130,0.5695,-0.3057,-0.5986,6.897,-59.9976,37.7808
140,0.5682,-0.2493,-0.7615,3.3569,-61.5234,36.6211
150,0.5688,-0.1914,-0.7443,-12.5732,-72.2046,32.5317
160,0.5863,-0.1677,-0.6575,-15.8691,-73.2422,26.4893
170,0.5937,-0.1674,-0.6431,-5.7983,-64.0259,15.7471
180,0.606,-0.119,-0.702,0.3662,-58.7769,10.498
190,0.6163,-0.1577,-0.7355,3.8452,-57.5561,-2.0142
200,0.6389,-0.2997,-0.7146,3.54,-60.1196,-4.5166
210,0.6509,-0.3315,-0.6885,8.8501,-62.3169,-1.4648
220,0.6617,-0.2754,-0.627,13.5498,-62.8052,0.0
230,0.6759,-0.2314,-0.5342,22.2778,-60.4248,-5.6152
240,0.6869,-0.2517,-0.5074,23.8037,-53.772,-14.9536
250,0.6887,-0.2352,-0.4088,22.2778,-50.7202,-17.334
260,0.6879,-0.1981,-0.343,21.5454,-37.9028,-24.9634
270,0.6853,-0.2053,-0.3038,22.4609,-27.4658,-31.1279
280,0.6783,-0.2372,-0.3243,21.5454,-9.0942,-37.9639
290,0.64,-0.2129,-0.2968,19.8364,-2.3804,-38.269
300,0.6134,-0.1776,-0.2671,21.0571,14.4043,-42.1143
310,0.5521,-0.0936,-0.2,23.9258,24.1699,-47.0581
320,0.514,-0.0443,-0.0957,28.1982,46.5088,-64.1479
330,0.402,0.0581,0.172,29.4189,65.0024,-77.0874
340,0.3302,0.0549,0.2465,29.7241,120.7886,-111.145
350,0.1632,-0.0656,0.1082,25.8789,151.9775,-128.2959
360,0.0768,-0.1527,-0.0043,11.7187,197.2656,-158.02
370,-0.0728,-0.421,-0.1758,5.6152,212.6465,-170.0439
380,-0.1229,-0.6158,-0.2563,8.4839,234.5581,-179.4433
390,-0.1327,-1.1893,-0.5603,13.7329,241.5161,-170.4712
400,-0.1146,-1.4446,-0.6698,33.2031,233.3374,-105.4687
410,-0.2166,-1.2698,-0.4921,49.6826,228.8818,-58.1055
420,-0.4611,-0.715,-0.5461,87.4634,250.5493,-0.2441
430,-0.5616,-0.5581,-0.6265,99.9145,263.5498,5.0049
440,-0.6777,-0.5571,-0.8572,96.1914,279.7852,-3.479
450,-0.6917,-0.6478,-1.0424,73.8525,277.2217,-3.7231
460,-0.6,-1.1641,-1.269,63.1714,263.3667,3.8452
470,-0.5527,-1.5291,-1.2581,57.6172,227.9053,62.3169
480,-0.645,-1.4683,-0.9624,69.2139,217.7734,112.6099
490,-0.7566,-1.1888,-0.8798,112.1826,230.957,186.1572
500,-0.9645,-0.8679,-1.2673,130.8594,241.9433,205.2002
510,-1.0039,-0.7975,-1.6235,153.4424,226.6846,233.0932
520,-1.0114,-0.7802,-1.7794,161.1938,197.0215,247.2534
530,-1.0117,-0.7627,-1.6687,161.0107,150.4517,279.7852
540,-1.0411,-0.806,-1.8289,154.7241,138.9771,297.9126
550,-1.0712,-0.7869,-1.9401,151.4893,98.5718,343.9941
560,-1.1904,-0.4972,-1.8367,159.668,76.1719,366.2719
570,-1.2528,-0.2295,-1.9269,176.4526,39.2456,391.7236
580,-1.2709,0.3369,-2.0663,174.8657,12.3901,387.8784
590,-1.2454,0.4227,-2.1014,153.0151,-50.4761,352.1118
600,-1.2223,0.3096,-2.0297,145.4468,-81.7261,335.6933
610,-1.2139,0.3916,-1.9744,148.2544,-134.3384,319.519
620,-1.1323,0.7703,-1.8234,148.4985,-158.7524,303.9551
630,-1.0614,0.801,-1.772,140.1978,-200.3784,245.3613
640,-0.9255,0.7408,-1.6252,138.6108,-219.4824,217.2241
650,-0.8552,0.7861,-1.5404,126.2207,-254.5776,166.2598
660,-0.7236,0.6709,-1.3411,111.9995,-271.3013,139.0381
670,-0.6129,0.5618,-1.0732,81.543,-295.4102,102.1728
680,-0.5558,0.5688,-0.9857,68.2983,-299.3774,88.9893
690,-0.4468,0.6179,-0.9371,52.124,-297.4854,59.5093
700,-0.4006,0.5909,-0.9109,50.5371,-297.7295,24.9023
710,-0.3187,0.4562,-0.7456,53.2227,-297.7905,10.437
720,-0.2776,0.4468,-0.6503,61.8286,-289.2456,-9.7046
730,-0.1962,0.5481,-0.556,65.1855,-282.2876,-21.4233
740,-0.166,0.5763,-0.526,68.5425,-273.1934,-55.542
