aX,aY,aZ,gX,gY,gZ
0.6162,-0.2202,3.9999,-80.6885,-230.4687,110.9009
0.5641,0.3066,3.5021,126.5259,55.1758,72.7539
0.4579,0.0994,1.6467,144.8364,133.8501,23.8037
0.4647,-0.0872,1.1531,90.2710,137.2681,-3.2959
0.5681,-0.1047,1.0731,62.2559,117.3096,-1.4038
0.6283,-0.0896,1.1788,51.3916,105.9570,-8.3008
0.7177,-0.0793,1.1747,58.8989,116.9434,-12.3291
0.7502,-0.0713,1.0498,54.1992,143.7378,-15.1978
0.7864,-0.1052,0.8018,38.2690,151.2451,-15.1978
0.7854,-0.1320,0.7039,3.0518,153.5034,-14.3433
0.7657,-0.1904,0.5223,-12.1460,150.2075,-15.1978
0.7635,-0.2428,0.4650,-38.2690,135.7422,-19.6533
0.7931,-0.3947,0.4819,-46.6309,126.5869,-20.0806
0.8260,-0.4487,0.5546,-54.8706,113.0371,-13.4888
0.8914,-0.4366,0.7334,-51.8188,112.2436,-8.4229
0.9202,-0.4047,0.7473,-44.4946,124.1455,-2.6245
0.9640,-0.3744,0.6396,-44.6167,129.9438,-1.9531
0.9646,-0.3794,0.6221,-48.4619,130.7373,-0.5493
0.9893,-0.3794,0.7075,-50.1709,130.5542,2.9907
1.0105,-0.3687,0.7755,-53.4668,140.5029,11.6577
1.0284,-0.3729,0.7490,-56.8237,153.0151,13.6108
1.0149,-0.3770,0.6693,-67.3828,177.7344,15.6860
0.9463,-0.3392,0.5693,-72.8760,185.8520,16.5405
0.9056,-0.3090,0.5334,-74.0967,200.3784,13.2446
0.8405,-0.3075,0.4189,-66.7725,207.7026,10.0708
0.8036,-0.2958,0.3511,-53.8940,223.2666,9.0332
0.7228,-0.2744,0.1210,-51.3916,231.1401,8.9722
0.6897,-0.2750,-0.0354,-32.5317,233.8257,10.7422
0.6489,-0.2798,-0.2014,-18.3105,224.9145,14.0381
0.6316,-0.2424,-0.1631,-4.2725,209.5947,21.2402
0.5659,-0.1522,-0.1560,-0.8545,212.3413,21.7895
0.5264,-0.1439,-0.2308,0.4883,224.6094,20.3857
0.4626,-0.1367,-0.3983,-5.2490,228.0273,21.4233
0.4099,-0.0408,-0.5229,-14.7705,227.1728,24.7192
0.3866,0.0251,-0.5947,-12.8784,224.5483,23.6206
0.3392,0.1372,-0.7545,-4.3945,214.2944,12.9395
0.3154,0.1893,-0.8302,-1.4038,205.8716,5.4321
0.2521,0.2496,-0.9093,-2.3193,184.5093,-13.4888
0.2072,0.2374,-0.9043,-11.7187,164.9780,-35.4004
0.0945,0.1538,-0.9330,-13.9160,160.0952,-44.8608
0.0238,0.1091,-0.9738,-5.7983,155.2734,-57.1899
-0.1190,0.0642,-1.0808,-0.1221,154.1748,-61.0352
-0.1918,0.0642,-1.1852,20.9351,152.1606,-68.3594
-0.3621,0.1788,-1.5002,37.1704,145.6299,-73.3643
-0.4526,0.2964,-1.6631,59.6924,113.0981,-95.2759
-0.6525,0.5247,-1.9856,64.2090,88.1958,-114.6851
-0.7661,0.5546,-2.1322,43.0298,17.4561,-164.1846
-0.9861,0.3521,-2.3016,17.2119,-29.4800,-187.5610
-1.0887,0.2080,-2.2924,-23.8647,-139.8315,-222.8393
-1.2804,-0.0002,-1.9883,-28.1372,-197.0215,-239.6240
-1.3751,-0.0864,-1.7577,-11.9629,-289.7339,-280.8228
-1.5800,-0.3422,-1.5375,0.4272,-324.5849,-303.1006
-1.8679,-0.5137,-1.6134,10.7422,-398.6816,-340.5151
-2.0781,-0.6167,-1.6934,-1.0376,-445.6787,-358.5205
-2.7151,-1.1971,-1.7501,-83.4961,-575.6836,-383.9111
-3.1791,-1.4933,-1.4933,-197.0215,-773.6816,-343.6279
-3.9999,-2.2971,-0.1531,-240.3564,-872.0703,-303.8330
-3.9999,-2.9421,0.9009,-271.1792,-990.7226,-164.9780
-3.4546,-3.4038,2.8657,-225.0366,-972.6562,-53.1616
-2.9911,-2.9590,3.2247,-72.5708,-781.9213,149.2310
-2.2904,-1.5596,2.8333,-13.3667,-674.0112,190.0635
-2.0099,-1.3081,2.6237,16.7236,-535.8887,151.3062
-1.5336,-1.7206,2.2935,11.6577,-484.5581,128.5400
-1.3790,-1.8098,2.0415,16.2964,-413.5132,154.9683
-1.2203,-1.5625,1.9469,23.1323,-399.9023,180.9082
-1.0468,-1.2808,1.9420,52.1851,-361.6943,214.1113
-0.9921,-1.1993,1.7751,69.3359,-332.4585,221.3745
-1.0149,-0.8497,1.5077,90.8813,-292.0532,234.1308
-0.9993,-0.5377,1.5785,79.8950,-290.8936,225.3418
-0.8074,-0.3517,1.8607,42.9687,-282.5928,202.2095
-0.6663,-0.3723,1.9673,-15.0757,-237.5488,163.5132
-0.4108,-0.3872,2.0952,-24.1699,-202.5146,147.7051
-0.3063,-0.4492,2.0327,-28.0762,-115.2344,117.5537
-0.2200,-0.5308,1.6921,-19.5313,-75.6226,110.4736
-0.2208,-0.4647,1.4927,5.3101,-25.2075,105.5298
-0.1837,-0.2892,1.2360,3.7842,-13.9770,98.2666
-0.1410,-0.2649,1.1610,-24.5361,-1.8311,75.2563
-0.0566,-0.2543,1.0426,-36.9873,2.9907,65.1245
-0.0239,-0.2583,0.9963,-48.0957,14.0991,46.3257
0.0248,-0.3204,0.9042,-51.4526,19.6533,37.1094
0.0444,-0.3643,0.8567,-52.7344,28.3203,23.2544
0.0848,-0.4535,0.7787,-49.8657,31.1279,19.4092
0.1056,-0.4727,0.7411,-38.2080,33.3862,18.0664
0.1432,-0.4393,0.7100,-31.0669,31.7993,17.8223
0.1635,-0.4271,0.7117,-24.4751,27.7100,12.8784
0.1968,-0.4050,0.7000,-24.5361,26.1230,9.3384
0.2080,-0.4031,0.6963,-30.3345,23.4375,0.0000
0.2245,-0.4504,0.6943,-32.7759,22.2778,-4.6997
0.2330,-0.4735,0.6959,-32.1655,19.1650,-10.1929
0.2438,-0.4781,0.7129,-32.1655,17.7612,-12.3901
0.2462,-0.4801,0.7251,-34.3628,16.2354,-17.3340
0.2489,-0.4845,0.7498,-34.6680,15.7471,-19.1650
0.2488,-0.4756,0.7795,-35.5225,16.0522,-22.7661
0.2487,-0.4794,0.7769,-34.9121,17.3950,-25.0854
0.2485,-0.5363,0.7566,-35.8887,18.2495,-30.0293
0.2502,-0.5818,0.7632,-32.5928,15.0146,-30.4565
0.2594,-0.6451,0.7805,-27.9541,14.0991,-28.1982
0.2614,-0.6528,0.7775,-17.7002,13.0005,-21.1182
0.2528,-0.6141,0.7744,-14.0381,12.1460,-17.5171
0.2483,-0.5804,0.7731,-14.5264,10.0708,-14.2212
