aX,aY,aZ,gX,gY,gZ
0.2404,0.7362,3.6572,-22.8882,156.7993,-89.6606
0.1321,0.0875,3.0522,-75.3174,226.7456,-123.7793
0.0767,-0.1989,2.4425,-118.5913,311.1572,-141.1743
-0.0209,-0.3004,1.4589,-115.0513,325.4394,-134.3994
-0.0520,-0.3508,1.1624,-116.7602,332.5805,-147.3389
0.0291,-0.8552,0.6608,-115.1123,331.1767,-150.4517
0.1052,-1.0449,0.4447,-79.8950,301.2695,-110.5957
0.2642,-1.1479,0.2527,-49.9878,275.8179,-77.5146
0.3217,-1.0800,0.3109,-11.6577,238.6474,-22.7661
0.3931,-0.9875,0.3123,-1.4648,232.6050,-7.9346
0.4187,-0.9850,0.2559,19.5313,225.1587,13.3667
0.4651,-1.0022,0.0815,30.3345,220.5810,27.4658
0.4835,-0.9257,0.0295,33.2031,199.2798,66.4673
0.5183,-0.5367,0.0778,26.6113,186.9507,79.7729
0.5618,-0.4462,0.1261,13.4277,170.7764,75.2563
0.6346,-0.3793,0.2150,12.5122,167.6636,69.0308
0.6647,-0.3644,0.2484,-9.2163,166.6870,58.1055
0.7104,-0.3606,0.2037,-21.4233,171.6919,56.3354
0.7305,-0.2986,0.0927,-35.2173,174.4385,55.1147
0.7849,-0.2244,0.0775,-39.3066,168.7622,49.9878
0.7904,-0.1841,0.1399,-29.1138,171.3867,31.9824
0.7849,-0.2834,0.0844,-28.9917,177.5513,22.0947
0.7817,-0.3804,0.0787,-39.2456,184.9975,23.9868
0.7264,-0.3221,0.0332,-33.7524,192.8100,35.4614
0.6837,-0.2014,-0.0791,-10.0098,208.9233,47.7905
0.6194,-0.0797,-0.2942,3.5400,210.6323,43.8232
0.6010,-0.0844,-0.3472,18.9819,207.4585,31.0669
0.5658,-0.1035,-0.4230,18.8599,206.9092,27.6489
0.5419,-0.0959,-0.4690,1.3428,205.2002,27.0996
0.4883,-0.0360,-0.5514,-5.4932,202.5757,28.1982
0.4382,0.0436,-0.5985,-6.7749,195.7397,27.8320
0.4171,0.0586,-0.6328,-6.5918,193.9697,24.7192
0.3772,0.1033,-0.7113,-8.1787,190.9790,16.2354
0.3632,0.1180,-0.7479,-11.3525,188.4765,11.0474
0.3230,0.1707,-0.7455,-20.9351,179.5044,3.4180
0.2852,0.2107,-0.7032,-24.7192,175.0488,0.2441
0.1675,0.2885,-0.6608,-25.8179,177.1850,-10.6812
0.0940,0.3092,-0.6838,-26.7334,183.6548,-19.3481
-0.0870,0.1832,-0.8717,-19.5923,200.1343,-43.0298
-0.1851,0.0808,-1.0573,-4.0283,209.8999,-54.5044
-0.3883,0.0154,-1.4169,-1.2207,203.9184,-52.7954
-0.4966,0.0441,-1.5046,-1.5869,176.0864,-50.0488
-0.7673,0.1843,-1.5842,3.4790,163.0249,-52.9175
-0.9205,0.2836,-1.6608,28.9307,144.5923,-68.8477
-1.1940,0.5968,-2.0747,38.0859,132.3242,-81.6040
-1.3202,0.7783,-2.3127,20.8130,61.0352,-133.9111
-1.6648,1.1093,-2.4662,4.6387,-1.1597,-181.5796
-1.8551,1.1101,-2.2435,-13.2446,-145.8130,-323.0591
-2.3077,0.5483,-1.5869,0.4272,-195.4346,-401.6723
-2.5322,-0.0237,-1.6730,6.6528,-253.4180,-523.1934
-2.9092,-1.1737,-2.1705,-17.3950,-306.0303,-545.8984
-3.0870,-1.5629,-2.2388,-76.5991,-481.7505,-526.4282
-3.5879,-1.8950,-1.7317,-86.1206,-588.8672,-502.7466
-3.9999,-1.8248,-0.6122,-38.7573,-776.8554,-484.0088
-3.9999,-2.0918,-0.1826,16.0522,-891.4184,-557.8613
-3.9966,-3.3433,0.7583,-34.4849,-943.6035,-597.6562
-3.9917,-3.8402,1.6411,-313.1104,-1042.9077,-491.7602
-3.6637,-3.9999,3.8875,-390.0757,-1032.2876,-237.1216
-2.9041,-3.4639,3.9999,-153.6255,-757.4462,236.9995
-1.5076,-1.5310,2.8098,-52.4902,-597.1069,279.3579
-1.2211,-1.1956,2.1912,64.7583,-465.3320,153.2593
-0.8887,-1.5959,2.0195,109.3750,-447.6318,106.5063
-0.7721,-1.6478,2.0172,100.5859,-396.2402,130.5542
