aX,aY,aZ,gX,gY,gZ
-0.5212,0.6437,-4.0000,20.0195,13.2446,-86.9751
-1.0612,0.3759,-3.8361,-112.3047,-553.3447,-124.3286
-1.7875,-0.2050,-0.4628,-167.7246,-783.8134,-116.5771
-1.5459,-0.9132,1.4557,-325.1342,-849.9145,-53.4058
-0.2799,-1.5408,3.9999,-361.3891,-761.2304,44.8608
0.2194,-0.6097,3.9999,-76.9043,-404.7241,224.6704
0.4867,0.9539,3.8555,95.7031,-135.9863,177.6123
0.3804,0.5662,3.0865,130.3711,259.8877,-23.6816
0.3362,-0.2651,0.9153,110.3516,277.2827,-46.4478
0.4595,-0.2291,0.5902,84.8389,144.2261,-9.4604
0.6990,0.0966,1.2449,70.2515,96.4966,0.0610
0.7671,0.1915,1.4592,54.6265,124.8779,-13.9770
0.8241,0.1494,1.1820,48.7061,160.9497,-24.0478
0.8218,0.0948,0.9022,21.8506,202.9419,-32.4097
0.8134,-0.1417,0.3942,-3.3569,202.0874,-33.8135
0.8142,-0.2870,0.2548,-47.6074,171.2036,-26.9775
0.8221,-0.4613,0.1837,-59.3262,151.8555,-19.9585
0.8380,-0.5002,0.2483,-77.8198,117.5537,-6.5308
0.8817,-0.4707,0.5137,-83.3740,108.1543,0.3662
0.8992,-0.4205,0.6094,-85.3271,116.3940,10.6201
0.9045,-0.3271,0.5547,-79.5898,128.6011,12.4512
0.8883,-0.3105,0.4594,-52.9175,145.4468,13.6108
0.8728,-0.2766,0.2837,-42.6025,146.4844,15.3198
0.8805,-0.2273,0.2454,-46.3257,137.8784,18.7988
0.9197,-0.1598,0.2979,-51.8188,132.8735,17.3340
0.9286,-0.1354,0.3315,-50.8423,135.8032,11.7187
0.9221,-0.1172,0.2847,-49.8047,142.6392,7.3853
0.9163,-0.1486,0.2590,-46.2646,154.5410,-1.0376
0.8926,-0.1868,0.1985,-41.3818,160.4004,-2.5635
0.8809,-0.2062,0.1552,-34.6680,170.8374,-3.7231
0.8538,-0.2419,0.0366,-30.3345,173.7060,-3.2349
0.8447,-0.2577,-0.0222,-34.9731,172.7295,-1.8311
0.8385,-0.2990,-0.0295,-40.0391,170.1660,-1.0376
0.8026,-0.2697,0.0526,-35.8276,173.2178,1.0986
0.7618,-0.2430,0.0614,-21.2402,181.3965,0.6104
0.6799,-0.2852,-0.0581,13.9770,206.8481,-2.6245
0.6262,-0.3138,-0.1315,34.4849,217.2851,-1.5869
