aX,aY,aZ,gX,gY,gZ
0.4874,-1.7668,3.9999,-214.1723,-389.9536,-135.6201
0.6158,-1.6117,3.9999,-7.6904,-85.6323,15.3809
0.3981,-0.4258,3.0387,75.1953,59.6924,46.8750
0.2917,-0.0947,2.1279,118.2251,202.0264,18.9209
0.3866,-0.1799,1.0901,95.2148,205.8105,-1.7700
0.4924,-0.3638,1.1217,69.3359,174.3164,-13.9770
0.5675,-0.4243,1.3481,84.1064,177.1240,-6.8970
0.5690,-0.3446,1.2102,102.2949,217.9565,2.1973
0.6134,-0.3271,0.7040,85.2051,233.7036,2.1973
0.6470,-0.3690,0.4800,28.5645,227.7222,8.3618
0.6940,-0.4276,0.2734,2.1362,211.6089,14.2822
0.7045,-0.4325,0.2423,-17.7612,181.5796,20.8130
0.7179,-0.4742,0.1969,-18.0054,168.8843,20.3247
0.7412,-0.5557,0.2238,-28.3813,145.0806,22.5220
0.7964,-0.5789,0.4526,-28.8086,137.8174,30.8228
0.7960,-0.4447,0.5369,-17.5781,147.0947,44.8608
0.7845,-0.3273,0.4248,-19.0430,158.6914,41.2598
0.7900,-0.3724,0.3158,-15.3809,169.3725,34.6069
0.8052,-0.3336,0.1873,-9.3994,167.2973,38.2080
0.8176,-0.2826,0.1738,-9.8877,159.7900,40.6494
0.8365,-0.2203,0.2183,-10.0708,157.9590,37.4756
0.8384,-0.2285,0.2286,-6.4087,163.5132,27.5269
0.8304,-0.2872,0.1625,-5.3711,169.0063,24.9634
0.8180,-0.2859,0.1060,-4.1504,179.0771,25.6348
0.7844,-0.2957,-0.0104,-4.0283,181.9458,25.5127
0.7692,-0.3026,-0.0614,-2.0142,182.6782,26.4282
0.7539,-0.2883,-0.1906,0.5493,181.9458,27.0386
0.7538,-0.2887,-0.2510,3.2959,176.1474,27.4658
0.7682,-0.3457,-0.2230,3.6011,171.4477,29.1748
0.7577,-0.3257,-0.1700,12.9395,172.7905,39.6118
0.6980,-0.2335,-0.2791,15.6860,180.1758,43.0298
0.6793,-0.2175,-0.3778,13.3057,184.0210,42.6636
0.6521,-0.2228,-0.4355,18.7378,179.3213,41.6870
0.6313,-0.1597,-0.4937,32.4097,175.4761,42.1143
0.5939,-0.0419,-0.7380,28.9307,173.0347,39.1235
0.5833,-0.0133,-0.8250,19.6533,151.7334,31.1890
0.5338,0.0637,-0.8510,19.1650,137.2070,27.3437
0.4988,0.0994,-0.8346,12.7563,116.2720,18.1885
0.3954,0.1781,-0.9263,14.2212,110.8398,11.2915
0.3351,0.1919,-1.0360,22.7661,94.9707,-6.8970
0.2069,0.1852,-1.2368,26.3062,80.8716,-14.7095
0.1395,0.2054,-1.3240,26.3672,47.1191,-24.0478
-0.0073,0.2952,-1.5167,21.6675,27.0996,-28.1982
-0.0858,0.3538,-1.5879,13.1226,-26.6113,-43.5791
-0.2388,0.4755,-1.7006,12.6953,-57.4951,-56.4575
-0.4042,0.6288,-2.0773,9.2773,-122.3755,-92.7734
-0.5988,0.7526,-2.4583,5.8594,-163.1470,-117.4927
-1.2971,0.8379,-3.2852,6.7139,-314.0259,-200.5615
-1.8431,0.6866,-3.2762,4.7607,-607.7271,-323.1811
-3.2294,0.1144,-1.7830,-4.0894,-773.0712,-383.0566
-3.8285,-0.3997,-0.7886,-67.0776,-987.9760,-463.7451
-3.9999,-2.0946,0.8719,-138.1226,-1034.3018,-461.1816
-3.9999,-3.3898,2.0710,-431.5796,-1093.8110,-269.8975
-3.6985,-3.9504,3.9999,-515.2588,-1066.9556,6.4697
-3.0891,-2.5516,3.9999,-265.0757,-781.0058,526.8555
-1.3690,0.3206,3.9883,-33.4473,-594.2993,523.4985
-0.6785,0.1250,3.9296,147.2778,-253.3569,224.7925
-0.1780,-0.9153,2.9358,157.5317,-127.8686,164.0014
-0.1954,-0.6941,2.1836,166.3818,-44.4946,211.9140
-0.1621,0.1360,1.5591,140.3198,-50.7812,218.6889
-0.1018,0.2703,1.5616,93.2007,-54.5654,163.7573
0.0354,0.0417,1.5468,72.7539,-45.3491,132.1411
0.0956,-0.0708,1.5172,39.2456,-29.2969,101.6235
0.1962,-0.0112,1.5306,30.0903,-24.1089,94.4214
