aX,aY,aZ,gX,gY,gZ
0.2020,0.4067,3.9999,-91.3086,65.0635,49.9268
-0.1646,0.6775,3.9999,59.7534,365.4174,-4.5776
-0.8254,0.2089,2.6022,72.0215,477.8442,-50.4150
-0.9229,-0.1737,1.7087,66.3452,540.4663,-72.1436
-0.7021,-0.3850,0.5150,70.1294,524.5972,-51.0254
-0.5092,-0.3262,0.0312,60.6689,456.7871,-13.1836
-0.0881,-0.2589,-0.6835,55.1758,398.4985,-2.6855
0.0887,-0.1887,-0.6964,40.0391,251.2207,15.4419
0.2992,-0.1025,-0.2550,15.3809,191.1011,19.8975
0.3651,-0.1338,0.0081,-46.2036,120.3613,24.4751
0.4475,-0.1864,0.5491,-67.5049,105.3467,29.2969
0.4404,-0.1002,0.7294,-66.6504,114.9292,43.4570
0.4021,0.2061,0.7394,-58.2275,130.9204,43.3350
0.4036,0.2439,0.6454,-60.6079,155.9448,20.3247
0.4597,0.1732,0.4988,-62.3169,159.9731,8.6060
0.5089,0.1434,0.5284,-64.1479,154.8462,-5.2490
0.6027,0.0751,0.9058,-67.8101,153.8086,-10.0098
0.5968,0.1094,1.0764,-56.7017,192.3828,-17.7002
0.4991,0.1733,0.8691,-49.0112,227.6001,-26.4893
0.4602,0.1360,0.5908,-57.3120,273.6816,-51.6357
0.4473,-0.0292,0.1288,-63.4766,277.7710,-62.3169
0.4531,-0.0968,-0.0323,-66.7725,267.0898,-74.4019
0.4648,-0.1392,-0.2657,-62.5000,259.4604,-77.8198
0.4694,-0.1649,-0.3440,-52.8564,243.1640,-86.1206
0.4662,-0.2330,-0.4960,-44.8608,235.0464,-88.9893
0.4586,-0.2478,-0.5651,-29.2969,217.7734,-90.3320
0.4437,-0.3104,-0.7197,-23.5596,209.7778,-91.4307
0.4442,-0.3555,-0.8153,-7.4463,192.1997,-88.8672
0.4442,-0.3612,-1.0193,-0.1221,181.0303,-84.2895
0.4424,-0.3445,-1.1188,4.3945,151.3672,-77.3926
0.4451,-0.3086,-1.2505,5.6152,132.0190,-75.2563
0.4581,-0.2716,-1.2794,6.7139,90.6372,-72.7539
0.4631,-0.2545,-1.2816,10.6812,71.7163,-73.1201
0.4580,-0.2062,-1.3146,27.1606,38.5132,-78.3081
0.4484,-0.2084,-1.3528,34.9121,21.8506,-83.9844
0.4507,-0.3424,-1.3804,42.6025,-18.6157,-98.8769
0.4590,-0.4171,-1.3499,45.8374,-66.5894,-104.6143
0.4738,-0.4689,-1.1963,43.2739,-90.0268,-102.9053
0.4764,-0.4680,-1.0948,39.9780,-127.5635,-97.6562
0.4575,-0.3982,-0.9502,44.4946,-139.4043,-97.3511
0.4066,-0.2847,-1.0411,74.9512,-151.9165,-113.9526
0.0874,-0.0870,-1.9192,105.7739,-164.7339,-139.2822
-0.2551,-0.1710,-2.6738,164.9170,-263.4888,-226.0132
-1.4813,-1.1693,-4.0000,164.0014,-385.0097,-272.7661
-2.4214,-1.9053,-3.8048,77.5757,-810.9741,-260.7422
-3.8881,-3.4075,-0.4211,8.7280,-1024.5972,-188.5986
-3.6252,-3.9956,2.1106,-301.8188,-1167.1143,126.8310
-2.2518,-3.0834,3.9999,-392.1508,-1019.1039,410.7666
-1.6305,-0.9396,3.9999,16.3574,-421.6919,722.8393
-0.3903,1.2871,3.3549,181.7627,-198.0591,578.7964
0.1057,0.2671,2.5054,169.4336,-60.6079,256.9580
0.1576,0.6896,2.2416,135.3760,-41.1987,235.7788
0.3302,1.1796,1.7264,59.4482,17.7612,174.3164
0.4083,0.8108,1.4640,26.7944,44.3115,105.2856
0.4585,0.4286,1.1998,-4.5776,82.5806,35.7056
0.5424,0.0968,0.7552,-7.7515,89.2944,33.9355
0.6017,0.2152,0.5812,-7.3242,74.7681,45.4712
0.6213,0.3962,0.5486,-6.6528,64.3921,48.2178
0.6733,0.4948,0.6052,-28.0762,40.5884,19.9585
