aX,aY,aZ,gX,gY,gZ
0.3895,-2.1144,3.9999,-218.6889,-390.6860,-25.4517
0.6177,-0.6088,3.9999,-40.7715,-156.8604,76.7212
0.2539,0.2656,1.8506,171.2646,241.5161,50.3540
0.3295,-0.1992,0.7209,139.6484,285.7056,-10.3760
0.6385,-0.5591,0.6013,48.9502,170.7153,-19.0430
0.6880,-0.3380,1.0887,57.1289,119.3237,4.2725
0.6964,-0.1497,1.1705,85.6934,140.6860,5.0659
0.7222,-0.1860,0.9279,84.4726,167.7246,-3.7231
0.7804,-0.2810,0.4819,49.9878,186.1572,-3.6621
0.7930,-0.3330,0.3344,24.6582,179.6875,1.6479
0.7959,-0.4130,0.2255,-13.6108,151.3672,9.9487
0.7977,-0.4559,0.2717,-24.7192,134.8877,10.1318
0.8138,-0.4478,0.4913,-33.9355,111.2060,9.7656
0.8138,-0.4250,0.5663,-33.1421,115.9668,8.4229
0.8237,-0.4352,0.4363,-34.1187,125.3662,8.2397
0.8297,-0.4651,0.3385,-40.2832,133.9111,13.0005
0.8364,-0.4376,0.2638,-39.0625,132.7515,18.1274
0.8361,-0.3531,0.2472,-29.4800,129.6387,23.9868
0.8450,-0.2571,0.1947,-30.0903,128.7842,21.1792
0.8577,-0.2632,0.1631,-39.4897,127.2583,14.7705
0.8810,-0.2700,0.1765,-41.3818,125.9766,13.7329
0.8813,-0.2654,0.2068,-32.7148,129.8828,10.9863
0.8551,-0.2646,0.1692,-26.4282,136.1694,8.9111
0.8418,-0.2679,0.0890,-18.9209,146.9116,5.7373
0.8413,-0.2618,-0.0884,-19.1040,146.8506,5.1880
0.8497,-0.2578,-0.1274,-23.3765,135.1929,3.1738
0.8674,-0.2930,-0.1079,-22.5220,128.4790,1.7090
0.8721,-0.3079,-0.0782,-17.8223,121.0937,1.8921
0.8718,-0.3022,-0.0137,-16.3574,121.2158,3.2349
0.8619,-0.3103,-0.0145,-17.9443,128.7842,5.7373
0.8507,-0.3622,-0.0643,-21.7895,132.7515,7.5684
0.8463,-0.3658,-0.0912,-36.0718,137.5732,16.8457
0.8335,-0.2327,-0.1394,-44.3726,139.2212,22.2168
0.8252,-0.1212,-0.1896,-58.9600,144.2261,22.2168
0.7954,-0.0095,-0.3398,-60.7300,145.3857,14.8315
0.7767,-0.0101,-0.4044,-50.4150,140.7471,-4.7607
0.7281,-0.0624,-0.5157,-43.6401,136.8408,-13.7939
0.7036,-0.1129,-0.5457,-38.2690,126.7090,-27.5879
0.6561,-0.1567,-0.5629,-37.0483,122.8638,-31.1279
0.5992,-0.1749,-0.7175,-39.2456,120.1782,-36.1938
0.5638,-0.1924,-0.7992,-41.6870,115.4175,-38.8794
0.4843,-0.2136,-0.9492,-42.2974,97.2900,-44.4336
0.4474,-0.2030,-1.0281,-38.6353,71.2891,-51.0254
0.3868,-0.1919,-1.1666,-33.2031,53.9551,-57.0679
0.3556,-0.2189,-1.1974,-14.7705,11.5356,-72.9370
0.2764,-0.2883,-1.1713,-0.6714,-9.9487,-80.6274
0.2280,-0.3239,-1.1506,30.8838,-44.7388,-93.7500
0.1439,-0.3878,-1.2273,43.8843,-58.4717,-97.4731
0.1019,-0.4095,-1.3135,45.5322,-92.8955,-96.3135
0.0135,-0.4349,-1.4388,28.8696,-117.6147,-91.3696
-0.0441,-0.3563,-1.4500,11.5356,-179.9316,-84.3506
-0.2327,-0.1464,-1.5900,18.4937,-213.3789,-92.7124
-0.3834,-0.1044,-1.7731,47.3022,-298.0347,-133.0566
-0.8744,-0.3510,-2.2063,58.2275,-358.7646,-159.2407
-1.2280,-0.6740,-2.3380,35.1563,-535.7056,-192.0776
-2.1943,-1.2998,-2.1483,4.7607,-644.8364,-188.1714
-3.5228,-1.4580,-0.9381,-112.7930,-869.3237,-135.1318
-3.9999,-1.8391,0.0940,-274.2920,-1038.2080,-45.1050
-3.9999,-2.7535,2.4958,-343.6889,-1063.1104,58.1665
-3.9009,-2.4247,3.3479,-296.1426,-927.9785,351.2573
-2.9652,-0.7206,3.9031,-187.1948,-803.4667,433.1665
-2.3235,-0.4098,3.9346,22.6440,-557.9834,363.5254
-1.3293,-0.7667,3.4111,51.6968,-441.9555,310.1807
-1.0621,-0.5123,3.0359,93.8721,-283.0811,293.0298
-0.6798,0.2682,2.6913,96.3135,-232.2998,273.9258
-0.5092,0.3259,2.4922,61.9507,-125.4883,191.7724
-0.3750,0.0801,1.8892,56.1523,-80.9936,160.4614
-0.3541,0.0112,1.6466,52.1240,-35.4004,129.6997
-0.3401,-0.1202,1.3662,46.9971,-23.0103,118.2861
-0.3354,-0.1892,1.2466,40.1001,-12.3291,103.0884
-0.3058,-0.2266,1.1691,32.2266,-18.4937,98.2666
-0.2754,-0.2271,1.2114,7.2632,-25.9399,84.7168
-0.1907,-0.2535,1.2817,-4.0894,-20.2026,75.7446
-0.1162,-0.3558,1.2129,-20.8740,1.5259,56.3354
-0.0876,-0.4167,1.1373,-25.0854,12.0850,48.9502
-0.0632,-0.4581,0.9753,-22.5830,27.8320,44.0674
-0.0597,-0.4340,0.8900,-18.1274,32.8369,44.0674
-0.0352,-0.3696,0.7740,-17.9443,29.6631,41.4429
-0.0110,-0.3452,0.7709,-22.2778,23.4375,38.4521
0.0509,-0.2950,0.8309,-32.3486,13.0615,31.1279
0.0787,-0.2954,0.8755,-40.6494,10.8643,19.1650
0.1111,-0.3409,0.9249,-40.8936,13.1226,13.6719
0.1177,-0.3572,0.9304,-32.4707,19.6533,7.0801
0.1213,-0.3685,0.9208,-29.5410,22.8271,4.4556
0.1199,-0.3668,0.9137,-27.5269,26.8555,-1.3428
0.1237,-0.3857,0.8759,-24.7803,28.3813,-4.7607
0.1304,-0.4106,0.8479,-23.1934,28.9307,-9.8877
0.1467,-0.4482,0.8176,-23.8037,27.0996,-10.8032
0.1558,-0.4720,0.8187,-26.5503,22.8882,-10.0098
0.1720,-0.4912,0.8577,-27.5269,21.0571,-7.6294
0.1766,-0.4701,0.8918,-22.2778,19.6533,-3.1128
0.1813,-0.4291,0.8900,-15.6250,21.1182,-2.7466
0.1876,-0.4205,0.8727,-12.6343,21.8506,-4.4556
0.2031,-0.4143,0.8721,-15.1367,20.8740,-5.3711
0.2068,-0.4188,0.8762,-17.0898,20.2026,-7.5684
0.1996,-0.4303,0.8630,-16.1743,20.5078,-8.1177
0.1915,-0.4221,0.8519,-13.7939,18.6768,-8.6670
0.1804,-0.4332,0.8280,-12.6953,16.7847,-9.2163
0.1846,-0.4463,0.8353,-15.3198,11.2915,-8.2397
0.1982,-0.4451,0.8937,-15.8691,9.0942,-7.0801
