aX,aY,aZ,gX,gY,gZ
0.9041,-0.3762,3.9668,-93.5669,-80.1392,102.9663
0.5662,0.5441,3.9999,171.9360,169.9219,129.0283
-0.4862,1.3314,3.8295,230.7739,377.1362,57.6782
-0.8278,0.4781,3.0203,37.5366,654.8461,-115.2344
-0.7529,-1.4442,-0.0623,-33.0811,674.7436,-105.7129
-0.5002,-1.3120,-1.8639,-31.5552,548.4619,45.8374
0.1431,-0.1317,-3.0381,-32.2266,374.6948,72.2656
0.3635,-0.2588,-2.0823,-70.0073,58.4717,5.3711
0.5438,-0.9105,-0.9065,-66.9556,18.3716,-3.5400
0.5525,-0.8499,-0.9299,-41.9311,5.0659,47.0581
0.5046,-0.2656,-0.9658,-33.9966,-15.0757,70.4346
0.4727,0.0238,-0.8689,-14.0991,-67.3828,76.7212
0.4512,0.2098,-0.5665,-10.2539,-91.6748,65.0635
0.4647,0.1670,-0.3708,-15.0757,-133.8501,48.3398
0.5179,0.1699,0.1337,-11.1694,-150.4517,46.7529
0.5591,0.2015,0.4011,-8.2397,-163.4521,41.2598
0.6449,0.2332,0.8328,-11.2915,-158.9966,34.1797
0.6704,0.1992,0.9502,-17.0898,-130.6152,14.1602
0.7151,0.1082,1.0038,-15.9302,-114.4409,5.3711
0.7467,0.0613,1.0250,-11.3525,-95.2759,-10.4980
0.8357,-0.1266,1.1809,-15.1367,-87.7685,-15.6860
0.8676,-0.1686,1.2915,-19.8975,-60.5469,-10.1929
0.9202,-0.0991,1.4792,-16.9067,-38.2690,-6.1035
0.9260,-0.0240,1.6244,-16.4795,14.6484,-6.8359
0.9041,0.0333,1.6104,-19.9585,45.9595,-8.9111
0.8701,-0.0118,1.4127,-23.1934,104.6143,-20.1416
0.8689,-0.0967,1.3453,-35.5835,135.4370,-25.7568
0.8888,-0.2383,1.4330,-45.8374,147.0337,-24.9634
0.8850,-0.2623,1.4902,-58.6548,187.3169,-22.1558
0.8180,-0.3169,1.3430,-61.4624,217.6514,-21.6064
0.7775,-0.3727,1.0831,-65.9180,276.4893,-19.5313
0.7596,-0.4927,0.5942,-66.8945,286.4380,-15.8081
0.7555,-0.5021,0.5192,-68.0542,280.5786,-2.7466
0.7012,-0.4021,0.3513,-67.5659,285.2783,2.6245
0.6711,-0.3962,0.2129,-79.2236,298.7061,4.7607
0.6385,-0.5007,-0.0974,-94.6655,301.4526,9.8877
0.6140,-0.4341,-0.2109,-124.6338,294.3726,32.7759
0.5472,-0.1929,-0.3368,-131.7749,288.0859,37.4756
0.4982,-0.1005,-0.3868,-110.4126,279.4189,26.3672
0.3872,-0.0576,-0.6108,-91.6748,276.4893,15.9302
0.3453,-0.0579,-0.7502,-65.5518,259.4604,-0.6714
0.2773,0.0023,-0.9191,-53.1006,246.1548,-6.4087
0.2366,0.0696,-0.9886,-26.0620,222.4731,-17.5171
0.1302,0.2059,-1.1030,-14.5874,210.5713,-25.6958
0.0657,0.2202,-1.1504,0.4883,190.1855,-45.5933
-0.0856,0.1855,-1.3478,5.6152,182.9834,-52.0019
-0.1644,0.1975,-1.5055,15.9302,161.6821,-59.6313
-0.2986,0.2772,-1.9298,26.6724,140.8081,-67.5659
-0.3391,0.2958,-2.1428,36.1328,63.9648,-99.4263
-0.4460,0.3016,-2.4094,41.0156,10.9253,-120.6665
-0.6429,0.1860,-2.4314,82.4585,-108.8867,-173.9502
-0.7632,0.0240,-2.3933,102.9663,-170.1050,-203.4302
-1.0381,-0.3713,-2.2565,113.1592,-296.0815,-247.3144
-1.2081,-0.5360,-2.1432,111.6943,-439.3310,-271.1792
-1.6201,-0.8708,-1.7728,113.5254,-517.6392,-284.4238
-1.8798,-1.1936,-1.4954,82.5195,-667.7856,-306.1523
-2.4475,-2.0974,-0.5632,76.5991,-738.8915,-303.1616
-2.5651,-2.6040,0.1257,73.0591,-854.7363,-267.0288
-2.4563,-3.7469,1.9287,-10.5591,-886.3525,-216.7358
-2.2159,-3.9999,3.0341,-147.3999,-843.9330,68.6646
-1.3043,-2.7473,3.9999,-115.2344,-732.7880,261.9629
-0.7805,-1.5050,3.9999,75.1343,-439.6362,411.1328
-0.0463,-0.4912,3.1628,165.9546,-327.4536,347.9614
0.1373,-0.6625,2.6875,226.6235,-185.7910,203.1250
0.1428,-0.9011,1.8145,217.6514,-154.1138,187.8662
0.0814,-0.7072,1.6342,158.6914,-141.1133,222.6562
0.0507,-0.2706,1.5503,126.0376,-136.8408,230.7129
0.1187,-0.2388,1.5701,79.7119,-121.5820,216.8579
0.2804,-0.2107,1.6180,67.1997,-106.5063,214.7217
0.3330,0.2524,1.4930,49.6216,-60.0586,218.0786
0.3673,0.4963,1.4121,57.8613,-40.4663,204.2847
0.4291,0.5660,1.2538,27.4048,-17.1509,132.8735
0.4478,0.4900,1.1909,3.9062,-9.9487,96.7407
0.4677,0.2500,1.1511,-26.2451,-1.2817,43.6401
0.4756,0.1261,1.1254,-32.1045,5.4321,26.3672
0.4865,-0.0377,0.9869,-33.0200,24.2920,6.6528
0.4939,-0.0875,0.9092,-31.0669,31.4331,0.9766
0.5342,-0.1472,0.8188,-25.2075,36.1328,-5.0659
0.5546,-0.1460,0.7921,-14.8315,38.0249,-7.5684
0.5804,-0.1190,0.7079,-10.6201,39.1235,-10.1318
0.5875,-0.1211,0.6663,-11.7798,36.3159,-18.3716
0.6042,-0.1790,0.6265,-16.1133,32.5928,-22.3389
0.6129,-0.2280,0.6332,-22.5830,24.3530,-27.0386
0.6213,-0.3158,0.6619,-20.3857,21.6675,-27.3437
0.6259,-0.3557,0.6605,-8.9111,19.6533,-25.4517
0.6381,-0.3954,0.6427,-3.4790,18.5547,-23.1934
0.6436,-0.3885,0.6339,4.3945,14.6484,-17.2119
0.6559,-0.3528,0.6333,4.2725,11.9629,-14.7705
0.6611,-0.3302,0.6387,-2.4414,6.9580,-12.8174
0.6688,-0.3086,0.6547,-6.3477,4.5776,-13.7329
0.6716,-0.3246,0.6672,-14.0991,0.6104,-16.7847
0.6696,-0.3699,0.6866,-14.8315,-0.4883,-17.0288
0.6661,-0.3816,0.6847,-13.0615,-2.3804,-14.8926
0.6656,-0.4213,0.7059,-14.2212,-3.7231,-13.3057
0.6642,-0.4314,0.7332,-9.7046,-4.5166,-7.3242
0.6527,-0.4022,0.7365,-0.7935,-3.4790,-4.3945
0.6478,-0.3877,0.7231,5.3101,-2.9297,-0.7324
0.6464,-0.3481,0.7485,0.6714,-3.7842,0.9766
0.6448,-0.3030,0.7692,-3.6621,-3.4790,1.2207
0.6389,-0.2971,0.7582,-0.1831,-1.9531,-2.0752
