aX,aY,aZ,gX,gY,gZ
1.0796,0.8630,3.9686,-66.5283,-60.4858,77.0264
0.6897,1.1683,3.9999,22.8882,195.7397,-10.5591
-0.2920,0.3030,2.5958,27.8931,401.8554,-73.9136
-0.4177,-0.4015,0.7252,-35.9497,573.7305,-97.5952
0.1023,-0.9227,-2.2651,-64.1479,485.0464,-62.7441
0.4215,-0.7490,-2.2150,-60.6689,139.3433,-0.7324
0.6536,-0.4419,-0.3123,-46.3867,32.4097,0.3052
0.6688,-0.5228,-0.0771,-22.2778,24.5972,-10.9253
0.6696,-0.5709,-0.3715,-22.2168,26.3672,3.4790
0.6610,-0.2955,-0.3627,-19.3481,-6.5918,43.1519
0.6498,0.1310,-0.1733,-7.7515,-20.7520,44.4946
0.6458,0.1608,-0.1581,18.7378,-37.5366,29.1138
0.6383,0.1289,-0.1385,22.2168,-48.7061,25.7568
0.6387,0.1256,-0.0624,16.1743,-76.6602,27.7100
0.6650,0.1655,0.2225,17.7612,-89.0503,28.5645
0.6881,0.2144,0.3969,15.1367,-102.8442,23.9258
0.7438,0.2657,0.7271,13.9770,-104.1260,16.7847
0.7817,0.2527,0.8676,-5.2490,-100.4639,1.0376
0.8967,0.1479,1.2350,-19.7754,-96.8018,-4.3335
0.9510,0.0989,1.4354,-47.6685,-73.7305,-4.8218
1.0436,0.1232,1.8893,-53.1616,-49.7436,-3.1738
1.0660,0.1400,2.0729,-52.2461,27.7710,-8.9111
1.0186,0.1154,2.0286,-47.4243,72.9980,-13.6719
0.9624,-0.0411,1.6021,-43.2739,143.9209,-22.5830
0.9816,-0.1526,1.5184,-49.0112,160.7666,-24.0478
1.0436,-0.2894,1.6140,-69.8242,182.8003,-15.7471
1.0337,-0.3301,1.6871,-80.4443,225.5249,-3.4790
0.8492,-0.2788,1.5031,-80.9326,259.3994,4.5776
0.7268,-0.2708,1.2178,-104.7363,328.6133,18.0664
0.5596,-0.2365,0.6279,-120.2393,350.5249,24.7192
0.5120,-0.1759,0.4410,-127.1973,351.5014,30.3345
0.4193,-0.1427,0.2433,-128.1738,345.5200,26.5503
0.3761,-0.2036,0.1288,-141.9678,345.2148,18.3105
0.2554,-0.2219,-0.1764,-147.2168,347.1679,20.4468
0.2002,-0.1740,-0.2963,-157.4097,337.2192,21.5454
0.1034,-0.1573,-0.3834,-155.6396,327.3315,16.7236
0.0457,-0.1100,-0.4332,-135.7422,314.3311,8.2397
-0.1129,0.0269,-0.5806,-127.6245,311.9507,1.5259
-0.1821,0.0707,-0.7040,-111.7554,311.5845,-18.1885
-0.3130,0.1309,-1.0172,-94.1772,304.8096,-30.0903
-0.3728,0.1576,-1.2014,-70.6787,275.5737,-45.8984
-0.4695,0.2139,-1.4744,-70.3735,252.1362,-50.8423
-0.5142,0.2455,-1.4934,-54.9927,198.6694,-63.7207
-0.5985,0.3633,-1.4176,-44.5557,179.8096,-69.5801
-0.6388,0.4470,-1.4102,-23.1934,160.9497,-84.6558
-0.8362,0.5580,-1.6265,-14.6484,154.4189,-96.8018
-0.9565,0.5830,-1.8568,-23.9258,117.3706,-127.9907
-1.1591,0.6014,-2.2345,-36.3159,79.2236,-148.0103
-1.2700,0.5229,-2.3568,-36.9873,-18.1885,-202.6367
-1.5732,0.1962,-2.4567,-27.7100,-71.4111,-230.7739
-1.9580,-0.0839,-2.4161,13.7939,-184.2041,-281.0669
-2.1422,-0.1923,-2.2604,61.8896,-308.8379,-334.2895
-2.5208,-0.4517,-1.8015,75.6226,-364.3188,-364.2578
-2.7153,-0.6803,-1.6406,55.6641,-453.7353,-419.8608
-3.1180,-1.4999,-1.6195,34.6069,-504.6386,-446.8383
-3.3114,-2.1521,-1.5983,36.9263,-653.6254,-475.8300
-3.6554,-3.1443,-0.8589,33.3252,-737.2436,-446.2280
-3.8170,-3.1953,-0.3041,4.5776,-855.5908,-326.2329
-3.9877,-3.4513,0.7239,-12.2070,-897.1557,-280.2124
-3.9718,-3.8295,1.3995,-75.0732,-958.9843,-162.7197
-3.4407,-3.9999,3.2002,-67.6270,-950.4394,-52.7344
-2.8151,-3.7032,3.6445,86.1206,-766.3574,174.6826
-1.8633,-2.2111,2.6715,159.4238,-639.1602,208.4350
-1.6522,-2.1630,1.5161,180.6640,-510.9253,140.3198
-1.6949,-2.4548,1.4491,146.7896,-514.7095,123.9014
-1.8154,-2.4506,2.0771,111.4502,-562.6221,191.8945
-1.7968,-2.0920,2.3583,124.7559,-565.0635,242.6758
-1.4144,-1.3285,2.7493,161.8042,-527.7710,289.2456
-1.1461,-1.0640,2.8186,170.8374,-416.8701,263.0005
-0.7632,-0.4877,2.4659,176.8188,-350.5249,239.6850
-0.6411,-0.3579,2.1744,127.9297,-252.9907,170.5932
-0.4401,-0.5156,1.8483,85.0830,-223.9990,139.9536
-0.3674,-0.6378,1.7750,31.1279,-170.1050,110.1074
-0.2777,-0.7716,1.5646,25.1465,-142.8833,106.2622
-0.2478,-0.7513,1.4607,35.7056,-103.5156,107.4829
-0.1808,-0.5684,1.3214,39.8560,-89.9048,106.6284
-0.1494,-0.4562,1.2655,31.3110,-60.3638,94.1162
-0.0627,-0.3291,1.0878,19.9585,-46.2646,82.0923
-0.0098,-0.3569,1.0251,-9.2773,-34.5459,54.3823
0.0991,-0.4816,1.0414,-18.4326,-30.0293,44.9829
0.1455,-0.5208,1.0299,-20.5078,-9.5215,34.7900
0.2007,-0.5376,0.9448,-20.9351,1.7700,31.3721
0.2130,-0.5126,0.8872,-22.1558,21.1182,24.1699
0.2307,-0.5089,0.7153,-21.3013,27.8320,18.3716
