timestamp,aX,aY,aZ,gX,gY,gZ
0,-1.2983,0.6273,-3.026,-22.4609,39.1235,-114.4409
10,-1.6412,0.7527,-3.5573,-20.1416,-121.521,-168.2739
20,-1.7803,0.6027,-3.4348,-0.4883,-230.3467,-217.2851
30,-1.9199,-0.2133,-2.6135,53.1616,-442.81,-324.0966
40,-1.8551,-0.6536,-2.0068,90.271,-601.2573,-356.9336
50,-1.4709,-1.199,-0.5526,90.332,-653.9306,-338.0127
60,-1.2434,-1.2955,0.1429,80.6885,-703.6743,-272.8882
70,-0.62,-1.6495,1.6505,74.2188,-710.9985,-246.7651
80,0.0101,-2.1567,2.8016,116.9434,-663.2079,-197.7539
90,1.3376,-2.3574,3.9999,181.9458,-543.1519,-147.522
100,1.6323,-1.8557,3.9958,170.105,-106.0181,-42.9077
110,1.6451,-1.4482,2.0354,56.0913,38.5132,-9.9487
120,1.5703,-1.2578,1.4771,-68.5425,50.9644,59.5093
130,1.4573,-0.4966,1.2974,-51.2695,46.2036,70.0073
140,1.4091,-0.4232,1.1641,-9.3384,90.5762,41.4429
150,1.2678,-0.5255,0.6976,-14.3433,114.2578,41.0767
160,1.1812,-0.4509,0.4808,-58.4106,142.0288,70.6787
170,1.031,-0.2413,0.1956,-79.5288,151.9775,82.0923
180,0.9666,-0.213,0.0586,-97.29,174.1333,87.0972
190,0.8629,-0.2343,-0.3243,-95.0928,179.3213,87.1582
200,0.8405,-0.2177,-0.4609,-91.4917,163.6963,87.7075
210,0.8545,-0.2299,-0.4835,-91.1255,150.0854,86.3037
220,0.8723,-0.282,-0.4399,-80.9326,132.5073,86.792
230,0.8917,-0.3447,-0.3436,-73.6694,130.6152,91.1255
240,0.881,-0.3384,-0.3495,-73.7915,138.0615,101.9897
250,0.8278,-0.3005,-0.4714,-83.374,141.4185,105.1025
260,0.8171,-0.326,-0.5172,-97.8393,137.2681,106.1401
270,0.8293,-0.4143,-0.3495,-92.5903,132.4463,109.6191
280,0.74,-0.361,-0.2216,-75.0732,141.0522,124.2065
290,0.6479,-0.3563,-0.278,-71.7773,152.832,129.1504
300,0.4454,-0.4019,-0.6058,-86.792,179.9316,137.0239
310,0.3682,-0.326,-0.814,-81.665,181.1523,153.1372
320,0.3442,-0.1145,-0.9546,-70.9839,164.5508,155.3345
330,0.3455,-0.0461,-0.8744,-54.7485,131.4697,145.9351
340,0.3275,0.0277,-0.6458,-50.5981,125.6103,137.3291
350,0.3048,-0.0195,-0.5929,-45.5322,135.0098,119.9341
360,0.2205,-0.1447,-0.6836,-39.5508,143.3105,119.2627
370,0.1653,-0.1293,-0.73,-33.1421,150.3906,133.606
380,0.0616,0.0352,-0.7587,-34.3018,151.7334,139.8926
390,0.0247,0.1217,-0.7957,-34.729,155.5786,137.207
400,-0.0314,0.2253,-0.8853,-32.6538,155.9448,129.7607
410,-0.0558,0.2173,-0.9211,-29.8462,151.123,113.2812
