timestamp,aX,aY,aZ,gX,gY,gZ
0,-2.9025,1.3575,-2.7003,31.311,337.2192,-3.54
10,-3.6449,2.155,-3.8767,-80.1392,269.5312,-72.6929
20,-3.9999,3.068,-4.0,-102.6611,18.6768,-211.6089
30,-3.9999,2.2084,-3.9706,13.6719,-826.7822,-633.7891
40,-3.9789,-0.6589,-2.0287,97.229,-1098.877,-786.9262
50,-3.9894,-1.8851,-0.4119,112.6099,-1253.418,-908.5082
60,-3.9999,-3.9999,3.0995,18.2495,-1302.246,-901.8554
70,-3.8185,-3.9999,3.9999,34.1797,-1290.5272,-509.3994
80,-1.2205,-3.869,3.9999,209.5337,-995.7885,-199.4018
90,0.3014,-3.7489,3.9873,29.541,-62.8052,-42.9687
100,1.3273,-3.8429,2.8715,-117.2485,133.2397,-49.1333
110,1.3898,-3.3568,2.0836,30.7007,19.9585,68.9087
120,1.4204,-2.072,2.1927,100.4639,-33.6304,101.1352
130,1.0955,-1.0509,1.689,85.144,45.4712,139.1602
140,1.0021,-0.8009,1.0685,49.4385,99.0601,146.6064
150,1.0078,-0.5229,0.2947,4.1504,130.127,152.9541
160,0.991,-0.4292,0.1569,-15.3198,126.6479,155.0903
170,0.9031,-0.557,0.1356,-75.1343,117.7978,149.1699
180,0.8051,-0.7067,0.1447,-98.999,118.5913,147.583
190,0.5939,-0.8954,0.0022,-125.6103,137.3901,160.4004
200,0.5361,-0.9359,-0.0527,-128.8452,142.8223,171.2036
210,0.5029,-0.9214,-0.136,-129.2114,148.7427,191.7724
220,0.4904,-0.8499,-0.183,-156.9824,157.6538,207.5806
230,0.4232,-0.6964,-0.2568,-172.2412,162.4145,212.5854
240,0.3881,-0.6542,-0.2734,-192.9321,169.1894,218.0786
250,0.2814,-0.5851,-0.1741,-198.5473,173.9502,221.1914
260,0.2006,-0.568,-0.1785,-206.9092,202.0874,227.8442
270,0.0104,-0.5742,-0.3456,-204.5288,219.7876,232.5439
280,-0.0878,-0.5114,-0.444,-171.7529,249.2676,248.291
290,-0.2504,-0.2177,-0.6456,-151.8555,259.8267,255.5542
300,-0.313,-0.057,-0.7408,-123.5962,269.8364,257.1411
310,-0.3804,0.1426,-0.9226,-116.6382,268.7988,250.6103
320,-0.3965,0.1481,-0.9724,-116.272,256.2256,234.4971
330,-0.4454,0.204,-0.9514,-115.6616,248.8403,230.4077
340,-0.4829,0.3212,-0.8824,-87.7075,240.3564,213.1958
350,-0.5414,0.3917,-0.7518,-66.4063,241.272,196.1059
360,-0.567,0.326,-0.7211,-28.6255,249.8779,170.9595
370,-0.6459,0.1956,-0.6575,-11.1084,255.7983,167.5415
380,-0.7013,0.153,-0.6237,17.7002,272.583,175.7202
390,-0.8561,0.2162,-0.6318,25.3296,282.7759,185.9741
400,-0.9381,0.2905,-0.6768,27.8931,297.4243,203.4912
410,-1.0857,0.5361,-0.6923,31.1279,299.4385,205.8105
420,-1.15,0.6605,-0.6376,11.7798,303.833,192.0776
430,-1.3103,0.7367,-0.6206,-13.1226,311.5234,181.5796
440,-1.3854,0.766,-0.7114,-59.082,323.7304,162.5976
450,-1.4954,0.8138,-0.9531,-72.6929,321.0449,146.9116
460,-1.6483,0.7251,-1.1552,-98.1445,291.8701,107.2388
470,-1.7618,0.7118,-1.158,-119.0796,263.916,90.9424
480,-2.0941,0.786,-1.1019,-176.6357,195.8008,57.312
490,-2.3479,0.8486,-1.0154,-213.6841,156.25,31.25
500,-3.178,0.802,-0.5547,-281.4941,64.8193,-58.1665
510,-3.7343,0.5674,-0.1482,-348.0835,-23.9258,-181.2134
520,-3.9999,0.5642,-0.1365,-390.3808,-66.2842,-243.164
530,-3.9999,1.2969,-1.4089,-397.7661,-288.0249,-485.5346
540,-3.9835,2.4014,-4.0,-311.9507,-579.4678,-778.3813
550,-3.9919,1.0313,-3.3972,-32.7759,-1386.7797,-1645.6298
560,-3.9999,-3.8391,0.8455,36.9263,-1639.099,-1963.2567
570,-3.9999,-3.9999,1.3827,-174.5605,-1807.9222,-1978.3934
580,-3.9996,-3.9999,2.9299,-272.3389,-1921.7528,-1581.9701
590,-3.9996,-3.9241,3.9999,63.4766,-1635.681,-394.6533
600,-3.9999,-3.9865,3.1089,171.3257,-1232.0557,-249.6338
610,-3.9999,-3.9999,3.3125,235.2295,-1102.6611,-157.959
620,-3.9673,-3.9999,3.9999,320.9229,-1009.2162,44.1284
630,-3.2703,-3.8793,3.9999,298.4619,-562.6221,208.9233
640,-2.6996,-3.4937,3.7474,234.8633,-424.8657,212.6465
650,-1.7473,-2.6044,2.7925,198.6694,-341.1255,201.2939
660,-1.3308,-2.1383,2.5985,213.8672,-337.6465,195.8618
670,-0.3971,-0.7454,3.0809,229.6142,-313.4155,175.9643
680,-0.009,-0.4772,3.0898,144.4702,-176.2695,81.4209
690,0.2144,-0.3816,2.0129,83.5571,-94.1162,46.7529
