timestamp,aX,aY,aZ,gX,gY,gZ
0,-1.3954,0.0363,-3.9158,-31.1279,35.0342,-141.4185
10,-1.7795,-0.4392,-4.0,-85.8154,-268.0054,-167.4194
20,-2.2589,-1.1699,-3.0309,-59.2041,-499.9389,-144.2871
30,-2.3411,-0.9779,-1.6561,46.6919,-791.8701,-82.9468
40,-2.2874,-0.5117,0.1215,57.4951,-822.5097,-83.2519
50,-2.135,-0.8627,0.7697,-36.9263,-864.9291,-98.938
60,-1.3295,-1.8611,2.6766,-125.5493,-881.1645,-48.0957
70,-0.8076,-1.4741,3.6477,-308.6548,-762.1459,178.894
80,-0.0405,0.7084,3.9999,-258.0566,-610.1685,237.1216
90,0.1561,1.0013,3.8406,110.7788,-284.729,100.3418
100,0.1896,0.0283,2.6346,188.8428,-201.416,30.7007
110,0.1377,-0.2246,2.3895,78.186,-170.7153,26.1841
120,0.1738,-0.3739,2.267,16.1133,-159.668,38.5742
130,0.2661,-0.3721,2.1588,-20.4468,-135.0098,60.0586
140,0.3496,-0.1998,2.3164,-20.4468,-131.4087,75.0732
150,0.5123,0.2992,2.7068,-16.2354,-102.6611,91.6138
160,0.5481,0.5068,2.7161,-16.4185,-68.4814,85.9985
170,0.5422,0.7064,2.5385,-46.9971,1.3428,51.2085
180,0.5325,0.6738,2.5398,-79.1626,24.5361,28.2593
190,0.4977,0.3385,2.7816,-148.2544,65.7349,-20.2637
200,0.4607,0.1128,2.8516,-166.0766,100.0976,-41.9311
210,0.3654,-0.3394,2.7272,-164.5508,188.6597,-75.8057
220,0.2798,-0.4955,2.533,-154.7852,233.3374,-85.5102
230,0.1066,-0.791,2.0204,-145.813,308.96,-95.1538
240,0.0774,-0.9033,1.9655,-160.8276,342.4682,-80.8716
250,0.0471,-0.6974,2.2235,-174.1943,358.2153,-68.8477
260,-0.0574,-0.4607,2.3606,-157.2876,420.7153,-80.2612
270,-0.4734,-0.3115,2.1056,-115.2344,469.2993,-104.9194
280,-0.7461,-0.5038,1.8074,-68.3594,563.5376,-154.7241
290,-1.3796,-0.9016,1.0944,-56.2744,604.0649,-163.147
300,-1.6366,-1.0665,0.6844,-37.2314,656.9824,-145.6299
310,-1.8198,-1.2369,0.1759,-33.2031,661.8652,-119.9951
320,-1.8358,-1.1484,0.1766,-32.0435,643.5546,-59.3262
330,-2.0259,-0.7621,0.1575,-21.7895,647.9492,-40.1001
340,-2.1643,-0.6387,-0.1277,7.5073,672.9736,-27.1606
350,-2.27,-0.6776,-0.8835,14.1602,666.748,-22.3999
360,-2.2281,-0.7297,-1.2029,33.2031,606.8726,3.1128
370,-2.0228,-0.6918,-1.679,50.6592,557.0068,22.7661
380,-1.8906,-0.618,-1.7435,75.9277,437.1338,60.791
390,-1.6548,-0.3068,-1.6248,86.0596,383.6059,73.1812
400,-1.5585,-0.145,-1.5366,110.0464,300.6592,76.4771
410,-1.3966,0.1,-1.476,117.4316,268.3105,74.585
420,-1.3068,0.1964,-1.4871,111.3281,209.2285,67.3218
430,-1.1133,0.2316,-1.4855,109.4971,180.2368,58.1055
440,-1.0238,0.1753,-1.4716,107.7881,126.8921,44.3115
450,-0.8708,0.1167,-1.3668,106.3232,103.7598,47.1802
460,-0.8019,0.1819,-1.2876,94.2993,67.3218,61.4624
470,-0.6487,0.309,-1.0447,83.4351,53.772,64.8193
480,-0.5801,0.3612,-0.9215,70.9229,45.8984,60.791
490,-0.4984,0.4072,-0.9011,66.2231,50.9644,52.0019
500,-0.4807,0.3531,-0.9825,49.6216,56.8237,32.1045
510,-0.4468,0.2461,-1.1138,40.8936,52.3071,28.3203
520,-0.4204,0.2556,-1.1165,29.48,35.5835,26.6113
530,-0.3583,0.2832,-1.009,27.8931,28.6865,22.1558
540,-0.3323,0.2665,-0.9443,31.0059,24.1089,8.0566
550,-0.3254,0.2219,-0.8451,31.0059,25.8789,1.77
560,-0.3412,0.176,-0.8258,18.4937,34.729,-5.7373
570,-0.3936,0.077,-0.8275,8.606,39.0015,-4.6997
580,-0.4717,0.0483,-0.8308,-6.2256,44.7388,5.127
590,-0.5109,0.084,-0.8381,-10.0098,46.1426,10.6812
600,-0.584,0.0994,-0.8467,-16.1133,45.4102,14.5874
610,-0.6136,0.0656,-0.8401,-21.3013,43.7622,15.4419
620,-0.6656,0.0652,-0.7697,-32.0435,38.0859,21.8506
630,-0.6866,0.1204,-0.7262,-37.2925,34.2407,24.353
640,-0.7351,0.2139,-0.6765,-40.8325,33.9966,20.9351
650,-0.7604,0.2408,-0.6846,-55.7861,32.5317,11.1084
660,-0.814,0.2206,-0.6785,-65.1245,29.2969,5.7373
670,-0.8483,0.2043,-0.653,-82.3364,21.7285,1.3428
680,-0.9475,0.2593,-0.5781,-91.4307,19.2261,1.6479
690,-1.0399,0.3175,-0.5493,-113.2812,15.686,-1.4038
700,-1.3777,0.4877,-0.5151,-132.8735,11.9019,-5.9204
710,-1.6377,0.6091,-0.5106,-188.2934,-5.4321,-26.3672
720,-2.5718,0.991,-0.4247,-217.8345,-21.9116,-45.8984
730,-3.3231,1.2146,-0.3264,-291.626,-71.228,-113.1592
740,-3.9999,1.6769,-1.0958,-346.8628,-98.8769,-156.7383
750,-3.9999,1.9465,-2.5861,-495.2392,-275.5737,-299.1943
760,-3.9794,1.595,-4.0,-527.8931,-603.0884,-467.041
770,-3.9832,0.4069,-3.0109,-176.8188,-1799.1942,-904.1747
780,-3.9999,-2.7262,3.8331,23.8647,-1999.9388,-1110.0464
790,-3.9999,-3.9878,3.9999,160.4004,-1999.9388,-1650.8177
800,-3.9996,-3.9999,3.9999,7.019,-1999.9388,-1402.1605
810,-3.9995,-3.5889,3.6375,-271.8506,-1407.4706,13.855
820,-3.9999,-3.6908,3.4034,-331.9702,-1266.4795,35.0342
830,-3.9999,-3.8405,3.865,-26.7334,-1506.5917,345.8252
840,-3.9999,-1.856,3.9999,97.9004,-1311.8285,520.6909
850,-3.6166,-1.4624,3.99,50.415,-590.0269,325.3174
860,-2.756,-0.983,3.9866,121.1548,-323.9746,273.3154
870,-0.8337,-0.2914,3.9712,242.3706,-120.4834,244.751
880,-0.2515,-0.2367,3.62,119.812,24.7803,192.688
890,0.1528,0.2234,1.4877,49.2554,88.0737,181.2134
900,0.213,0.5408,0.4026,-20.3247,118.7134,142.5171
910,0.389,0.342,-0.0792,-37.7808,72.5708,102.2949
920,0.4563,-0.0284,0.2876,-68.7866,24.4751,46.3867
930,0.4857,-0.4744,0.2405,-75.5615,47.4243,37.5977
940,0.425,-0.6328,-0.0492,-46.875,64.6362,26.6113
950,0.3242,-0.8715,-0.2126,-21.4233,42.2974,28.9917
960,0.3322,-0.8153,-0.0134,12.8174,-13.6108,47.3022
970,0.4575,-0.6151,0.4965,13.916,-26.9775,49.6216
980,0.5426,-0.6061,0.6647,6.3477,-25.2686,42.3584
990,0.6182,-0.5229,0.765,7.2021,-17.0898,38.208
